,employeenumber,attrition,businesstravel,jobrole,department,joblevel,overtime,remotework,distancefromhome,numcompaniesworked,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,stockoptionlevel
25,26,no,non travel, manufacturing director ,unknown,3,yes,no,9,1,2,17,5,15,1
26,27,yes,non travel, manager ,unknown,5,no,yes,2,1,3,32,6,9,1
27,28,no,non travel, manufacturing director ,unknown,2,yes,no,2,9,2,16,5,12,0
28,29,no,travel rarely, laboratory technician ,unknown,2,no,yes,28,1,3,15,5,7,1
29,30,no,non travel, sales executive , sales ,2,yes,yes,10,1,3,15,0,7,1
30,31,no,non travel, sales executive , sales ,3,no,yes,37,0,3,22,13,5,1
31,32,no,non travel, healthcare representative , research & development ,3,no,yes,25,2,3,17,12,11,0
32,33,no,travel rarely, manager ,unknown,5,no,yes,5,4,3,14,4,8,1
33,34,no,non travel, sales executive ,unknown,2,no,no,1,0,2,15,2,8,0
34,35,no,travel rarely, research scientist ,unknown,2,no,yes,6,1,3,16,2,10,0
35,36,no,travel rarely, sales executive ,unknown,3,no,yes,1,1,2,24,15,7,3
36,37,no,non travel, manager ,unknown,4,no,yes,16,5,3,17,1,9,1
37,38,no,non travel, laboratory technician , research & development ,1,no,yes,6,0,4,15,10,11,1
38,39,no,travel frequently, sales executive ,unknown,3,no,yes,28,4,5,18,13,11,0
39,40,no,travel frequently, sales executive ,unknown,3,yes,no,5,5,2,18,1,12,1
40,41,no,travel rarely, manufacturing director ,unknown,2,no,no,4,1,3,14,6,8,1
41,42,no,travel rarely, laboratory technician ,unknown,1,yes,yes,35,2,3,18,2,17,0
42,43,no,non travel, manager ,unknown,4,no,no,2,6,3,17,15,2,1
43,44,yes,travel rarely, laboratory technician ,unknown,1,no,yes,16,1,1,17,15,14,0
44,45,no,non travel, research scientist ,unknown,2,yes,no,8,8,2,16,1,7,3
45,46,no,travel rarely, sales executive ,unknown,2,no,yes,1,0,3,15,5,8,2
46,47,no,non travel, healthcare representative ,unknown,3,no,yes,1,3,1,13,12,8,0
47,48,no,non travel, manager ,unknown,4,yes,yes,26,1,3,25,4,12,2
48,49,no,non travel, research scientist ,unknown,1,no,yes,1,1,3,17,5,7,0
49,50,no,travel rarely, sales executive ,unknown,2,yes,yes,8,1,2,13,11,9,0
50,51,no,non travel, research director ,unknown,3,no,no,1,1,3,15,5,11,1
51,52,no,non travel, manager ,unknown,4,no,yes,3,8,2,13,5,1,1
52,53,yes,travel rarely, sales executive ,unknown,3,no,no,10,9,3,13,6,0,0
53,54,no,non travel, manager ,unknown,5,no,yes,6,7,2,16,6,14,0
54,55,no,non travel, healthcare representative ,unknown,2,no,yes,1,1,2,13,1,9,1
55,56,no,non travel, sales executive ,unknown,2,no,yes,15,1,4,15,11,11,1
56,57,no,non travel, research scientist ,unknown,2,no,yes,6,7,3,13,1,9,3
57,58,no,non travel, manufacturing director ,unknown,2,no,no,26,1,2,15,5,11,0
58,59,no,travel rarely, sales executive ,unknown,2,no,yes,4,4,1,15,5,9,1
59,60,no,non travel, sales executive ,unknown,3,no,yes,4,7,2,12,2,11,1
60,61,no,non travel, laboratory technician ,unknown,2,no,yes,5,8,3,13,3,7,0
61,62,no,non travel, research scientist ,unknown,2,yes,no,25,3,2,13,10,7,2
62,63,no,non travel, research scientist ,unknown,2,no,yes,6,1,3,17,11,8,0
63,64,no,travel frequently, healthcare representative ,unknown,2,no,no,6,3,2,13,4,7,1
64,65,no,travel rarely, manufacturing director , research & development ,4,yes,no,24,3,2,12,1,5,1
65,66,no,travel rarely, healthcare representative ,unknown,3,no,yes,4,7,3,15,4,8,0
66,67,no,travel rarely, sales executive , sales ,4,no,yes,28,3,2,12,11,11,1
67,68,no,travel rarely, research scientist ,unknown,2,no,yes,29,1,3,20,13,17,0
68,69,no,non travel, healthcare representative ,unknown,2,no,yes,25,5,0,12,11,8,3
69,70,no,travel rarely, healthcare representative ,unknown,2,no,yes,2,1,2,14,4,11,0
70,71,no,non travel, healthcare representative , research & development ,2,no,yes,8,1,5,14,2,9,1
71,72,no,non travel, research director ,unknown,3,no,no,17,5,3,14,1,11,3
72,73,no,non travel, healthcare representative ,unknown,4,no,yes,6,2,3,15,2,12,1
73,74,no,travel frequently, research scientist ,unknown,2,no,yes,1,7,4,13,2,9,2
74,75,no,non travel, laboratory technician ,unknown,1,no,yes,21,1,6,14,2,13,3
75,76,no,travel rarely, manufacturing director ,unknown,3,yes,yes,4,8,4,22,14,10,1
76,77,no,non travel, research scientist , research & development ,2,no,no,8,1,3,20,0,7,1
77,78,no,travel rarely, research director ,unknown,3,yes,yes,10,1,2,16,6,8,1
78,79,no,non travel, healthcare representative ,unknown,2,no,yes,2,1,3,11,10,8,3
79,80,no,travel rarely, sales executive ,unknown,4,no,yes,18,0,1,37,1,8,0
80,81,no,travel rarely, manager ,unknown,3,no,no,5,2,6,11,5,8,0
81,82,yes,travel rarely, healthcare representative ,unknown,3,no,yes,23,1,3,40,15,6,1
82,83,no,non travel, sales executive ,unknown,3,no,yes,3,0,6,16,5,13,2
83,84,no,travel frequently, sales executive ,unknown,3,no,yes,1,1,5,11,4,1,1
84,85,no,travel rarely, manager ,unknown,5,no,yes,1,0,2,36,4,13,0
85,86,no,non travel, manager ,unknown,4,no,yes,10,1,2,22,0,4,0
86,87,no,travel rarely, healthcare representative , research & development ,3,no,no,1,0,5,18,3,7,3
87,88,no,non travel, research director ,unknown,3,no,yes,15,0,3,11,2,9,1
88,89,no,non travel, research director ,unknown,4,no,yes,12,1,3,25,3,9,1
89,90,no,non travel, manufacturing director ,unknown,2,no,yes,30,1,5,13,3,12,1
90,91,no,travel rarely, manager , research & development ,4,no,yes,27,0,2,27,15,7,1
91,92,no,non travel, manufacturing director ,unknown,3,no,no,25,3,2,13,4,8,0
92,93,no,non travel, manufacturing director ,unknown,2,yes,yes,16,1,3,19,2,7,0
93,94,no,non travel, healthcare representative , research & development ,3,yes,yes,25,1,3,16,10,1,1
94,95,no,travel rarely, healthcare representative ,unknown,3,no,yes,20,4,6,11,11,1,1
95,96,no,non travel, sales executive , sales ,2,no,no,9,1,2,15,4,12,1
96,97,no,non travel, research scientist , research & development ,1,no,no,9,0,5,14,4,10,1
97,98,no,travel frequently, research scientist ,unknown,1,no,no,3,1,2,11,0,7,0
98,99,yes,non travel, manager ,unknown,5,yes,yes,13,2,2,24,1,11,0
99,100,no,travel frequently, manager ,unknown,5,yes,no,27,4,5,29,11,10,1
100,101,no,travel rarely, sales representative ,unknown,1,yes,no,7,0,4,11,5,7,1
101,102,no,travel rarely, research director , research & development ,4,no,yes,15,1,3,14,6,11,1
102,103,no,non travel, laboratory technician ,unknown,2,no,no,5,1,3,15,4,13,1
103,104,no,non travel, human resources ,unknown,1,no,yes,2,5,3,11,3,8,3
104,105,no,non travel, research director ,unknown,5,no,no,10,4,3,22,12,9,0
105,106,no,non travel, research scientist , research & development ,2,yes,no,22,1,3,15,6,11,0
106,107,no,travel rarely, sales executive ,unknown,3,no,yes,31,1,3,14,5,7,2
107,108,no,travel rarely, manufacturing director ,unknown,3,no,no,21,1,1,10,8,8,1
108,109,no,non travel, healthcare representative ,unknown,3,yes,no,1,2,5,10,9,5,1
109,110,no,non travel, human resources , human resources ,2,yes,no,9,0,2,11,4,7,0
110,111,no,non travel, laboratory technician ,unknown,2,no,yes,9,8,2,17,0,15,1
111,112,no,travel rarely, sales executive ,unknown,3,no,yes,5,2,2,10,7,4,1
112,113,no,non travel, laboratory technician ,unknown,2,no,yes,9,1,4,12,6,10,2
113,114,no,travel frequently, manufacturing director ,unknown,2,no,no,29,1,2,10,1,9,0
114,115,no,travel rarely, research director ,unknown,3,no,no,8,5,5,10,4,7,2
115,116,no,non travel, manufacturing director ,unknown,2,no,yes,39,6,3,11,5,9,1
116,117,no,travel rarely, sales executive ,unknown,3,no,yes,16,0,3,11,6,9,2
117,118,no,travel frequently, laboratory technician ,unknown,3,no,yes,7,1,2,24,9,11,1
118,119,no,non travel, manager ,unknown,4,no,yes,10,1,3,21,11,10,0
119,120,no,non travel, manufacturing director ,unknown,3,no,no,7,1,2,10,8,9,1
120,121,no,non travel, manager , research & development ,5,no,yes,7,1,2,21,13,3,1
121,122,no,travel rarely, research scientist ,unknown,2,no,yes,8,9,3,10,9,8,2
122,123,no,travel rarely, sales executive , sales ,2,no,yes,5,1,2,10,1,2,3
123,124,no,non travel, manufacturing director ,unknown,3,no,no,7,1,2,11,4,10,0
124,125,no,non travel, sales executive ,unknown,3,no,yes,3,4,2,13,1,12,1
125,126,no,travel rarely, sales executive ,unknown,3,no,yes,2,1,2,10,9,0,2
126,127,no,travel rarely, manager ,unknown,4,no,yes,18,3,2,10,7,7,0
127,128,no,non travel, sales executive ,unknown,2,no,yes,1,9,2,11,6,9,0
128,129,no,travel rarely, manufacturing director ,unknown,3,no,no,24,1,5,10,5,8,1
129,130,no,travel rarely, research scientist ,unknown,2,yes,yes,6,3,3,10,6,9,2
130,131,no,non travel, research director ,unknown,5,yes,yes,18,1,5,31,0,9,1
131,132,no,travel rarely, research scientist , research & development ,1,no,yes,1,1,4,10,8,8,1
132,133,yes,travel rarely, research scientist ,unknown,1,no,no,1,1,2,10,7,8,0
133,134,no,non travel, research director , research & development ,3,no,yes,7,0,3,13,3,7,0
134,135,no,travel rarely, research director ,unknown,4,no,yes,23,6,0,12,3,8,0
135,136,no,travel rarely, laboratory technician ,unknown,3,no,no,8,4,3,26,1,7,1
136,137,no,non travel, sales executive ,unknown,3,no,no,21,6,2,10,0,8,1
137,138,no,travel rarely, healthcare representative ,unknown,3,no,no,17,0,4,19,1,9,1
138,139,no,non travel, manager , sales ,4,no,no,3,3,3,12,4,9,1
139,140,no,non travel, manufacturing director ,unknown,2,no,no,18,2,0,11,0,9,0
140,141,yes,travel frequently, sales executive ,unknown,4,no,yes,15,0,2,21,13,14,0
141,142,no,travel frequently, healthcare representative ,unknown,2,no,yes,1,0,3,13,4,9,0
142,143,no,travel rarely, research scientist , research & development ,1,yes,yes,1,0,2,11,5,7,1
143,144,no,travel rarely, research director ,unknown,4,no,yes,3,3,2,10,0,9,0
144,145,no,travel rarely, healthcare representative ,unknown,2,no,no,24,1,2,10,1,8,0
145,146,no,non travel, manager ,unknown,5,no,yes,5,7,5,22,3,10,1
146,147,no,non travel, healthcare representative ,unknown,4,yes,no,8,1,3,33,15,0,1
147,148,no,travel rarely, manager ,unknown,5,no,no,4,1,4,25,14,13,2
148,149,no,travel frequently, human resources , human resources ,2,no,yes,11,4,5,10,1,8,2
149,150,no,non travel, manager ,unknown,4,yes,no,13,6,4,19,15,2,2
150,151,no,travel rarely, manager ,unknown,5,no,yes,2,4,5,19,9,11,1
151,152,no,non travel, manager ,unknown,4,no,yes,5,1,2,33,0,10,1
152,153,yes,non travel, manufacturing director ,unknown,3,no,yes,14,7,0,10,5,9,0
153,154,no,non travel, manufacturing director ,unknown,3,no,yes,4,1,2,10,0,8,0
154,155,no,travel rarely, human resources , human resources ,3,no,no,17,1,3,10,0,9,0
155,156,no,non travel, sales executive ,unknown,2,no,yes,3,3,2,13,3,12,0
156,157,no,travel frequently, laboratory technician ,unknown,1,no,yes,9,1,3,12,5,8,0
157,158,no,travel rarely, research scientist ,unknown,2,no,yes,1,0,2,12,2,8,1
158,159,yes,travel rarely, sales executive ,unknown,2,yes,no,24,0,2,15,10,10,0
159,160,no,travel frequently, manager ,unknown,4,no,yes,11,3,2,14,1,12,1
160,161,no,travel rarely, sales executive ,unknown,3,no,no,1,1,3,10,8,6,0
161,162,no,non travel, laboratory technician ,unknown,1,no,yes,3,1,3,10,1,5,0
162,163,no,travel rarely, laboratory technician ,unknown,2,no,yes,28,1,3,10,6,8,2
163,164,yes,non travel, sales executive ,unknown,2,no,yes,12,3,2,11,6,7,0
164,165,no,travel rarely, research scientist ,unknown,1,no,yes,19,1,3,10,8,7,0
165,166,no,non travel, sales executive ,unknown,2,yes,no,2,1,3,10,8,8,1
166,167,no,non travel, manager ,unknown,4,no,yes,2,4,0,16,14,14,1
167,168,no,travel rarely, sales executive , sales ,2,yes,no,14,1,4,10,1,7,1
168,169,no,travel rarely, healthcare representative ,unknown,3,no,yes,11,1,1,10,0,9,1
169,170,no,non travel, manager ,unknown,5,yes,yes,26,4,0,10,1,4,1
170,171,no,non travel, research scientist , research & development ,2,no,yes,23,1,2,20,3,7,0
171,172,no,non travel, laboratory technician ,unknown,2,no,yes,11,1,2,10,9,4,1
172,173,yes,non travel, laboratory technician , research & development ,1,no,yes,7,8,4,10,9,8,1
173,174,no,travel rarely, sales executive ,unknown,4,no,yes,33,0,2,20,9,6,1
174,175,no,travel rarely, manager ,unknown,4,no,yes,2,2,3,25,3,7,0
175,176,no,travel frequently, sales executive ,unknown,3,no,no,8,1,0,9,1,7,0
176,177,no,travel frequently, laboratory technician ,unknown,2,no,yes,1,1,2,12,3,7,0
177,178,no,non travel, sales executive ,unknown,3,no,yes,18,1,3,9,1,8,1
178,179,no,travel rarely, manufacturing director , research & development ,2,yes,yes,1,1,3,9,7,8,1
179,180,no,travel rarely, laboratory technician ,unknown,2,no,no,1,1,1,10,3,0,2
180,181,yes,non travel, sales executive , sales ,3,no,no,9,1,3,9,4,7,0
181,182,no,travel rarely, sales executive ,unknown,2,yes,no,4,1,4,11,2,7,3
182,183,no,non travel, sales executive ,unknown,2,no,yes,6,1,0,11,5,7,0
183,184,no,travel rarely, sales executive ,unknown,3,no,no,37,1,3,10,0,6,2
184,185,no,non travel, sales executive ,unknown,3,no,yes,8,1,2,9,3,7,0
185,186,no,travel rarely, research scientist , research & development ,1,no,yes,34,4,2,9,1,8,1
186,187,no,travel rarely, manager ,unknown,5,no,no,4,1,2,20,9,9,1
187,188,no,non travel, manager ,unknown,4,no,yes,2,9,1,20,11,8,1
188,189,yes,travel rarely, sales executive ,unknown,3,no,no,4,1,2,14,9,8,0
189,190,no,non travel, manufacturing director , research & development ,3,no,yes,1,1,2,11,5,8,0
190,191,no,non travel, research director ,unknown,3,no,yes,11,1,1,10,0,7,3
191,192,no,non travel, sales representative ,unknown,1,no,no,4,4,2,9,5,8,1
192,193,no,non travel, research scientist ,unknown,2,no,no,24,1,3,9,4,7,2
193,194,no,non travel, laboratory technician ,unknown,2,no,yes,24,7,3,9,0,8,1
194,195,no,travel rarely, sales executive ,unknown,2,no,yes,7,1,3,13,4,8,1
195,196,no,non travel, research director ,unknown,3,no,yes,25,3,2,10,0,1,1
196,197,no,travel rarely, research scientist ,unknown,2,no,yes,28,1,2,10,1,9,2
197,198,no,non travel, manager ,unknown,5,no,yes,1,1,3,21,1,6,1
198,199,no,non travel, manager ,unknown,5,no,yes,7,5,5,29,11,10,0
199,200,no,non travel, sales executive ,unknown,3,no,yes,22,0,3,9,7,8,0
200,201,no,travel rarely, manufacturing director , research & development ,3,no,yes,9,1,6,13,0,8,1
201,202,yes,non travel, research scientist ,unknown,1,yes,no,3,1,3,10,9,7,0
202,203,no,non travel, laboratory technician ,unknown,1,yes,yes,28,1,3,20,3,8,3
203,204,no,non travel, laboratory technician , research & development ,2,no,yes,24,1,2,10,4,7,2
204,205,no,non travel, manufacturing director ,unknown,2,no,yes,29,1,3,9,7,8,1
205,206,yes,non travel, sales executive , sales ,3,no,no,11,1,3,9,7,7,2
206,207,no,non travel, research director ,unknown,3,no,yes,5,1,3,9,0,8,1
207,208,no,travel rarely, sales executive ,unknown,2,no,yes,1,1,5,9,0,8,1
208,209,no,non travel, manufacturing director , research & development ,4,no,no,26,3,3,9,0,0,0
209,210,no,non travel, sales executive ,unknown,2,no,yes,5,1,3,10,5,3,1
210,211,no,non travel, healthcare representative ,unknown,2,no,no,14,0,2,16,4,11,1
211,212,no,non travel, sales executive , sales ,2,no,no,20,1,2,9,0,0,1
212,213,no,travel rarely, laboratory technician ,unknown,1,no,yes,2,4,6,11,3,9,0
213,214,no,non travel, manager ,unknown,4,no,yes,1,2,2,9,7,8,1
214,215,no,non travel, manager ,unknown,4,no,no,17,1,2,10,6,0,0
215,216,no,non travel, laboratory technician ,unknown,2,yes,yes,23,1,2,9,0,8,1
216,217,no,travel rarely, manufacturing director , research & development ,3,no,yes,12,0,2,14,7,8,0
217,218,no,non travel, sales executive ,unknown,4,no,no,8,6,3,9,2,3,1
218,219,yes,non travel, sales executive ,unknown,3,no,yes,23,1,3,11,3,10,1
219,220,no,non travel, laboratory technician ,unknown,1,no,no,6,1,5,10,0,8,1
220,221,no,non travel, manufacturing director , research & development ,2,no,yes,1,1,2,14,3,11,1
221,222,no,travel rarely, sales executive ,unknown,3,no,yes,10,0,3,9,0,8,2
222,223,no,travel frequently, laboratory technician ,unknown,2,no,yes,19,4,2,11,5,10,2
223,224,no,non travel, laboratory technician ,unknown,2,no,yes,1,0,6,9,7,5,3
224,225,no,non travel, sales executive ,unknown,3,yes,yes,2,1,5,10,9,6,1
225,226,no,non travel, manager ,unknown,4,yes,no,2,0,3,20,2,10,0
226,227,no,travel rarely, research scientist ,unknown,2,no,yes,2,1,4,9,8,8,0
227,228,no,non travel, sales executive ,unknown,2,no,yes,15,1,6,10,9,6,0
228,229,no,travel rarely, research director ,unknown,5,no,no,1,3,3,9,1,5,1
229,230,yes,travel frequently, manufacturing director ,unknown,3,no,yes,1,1,2,10,4,7,0
230,231,no,non travel, research director ,unknown,3,no,yes,8,2,5,9,4,8,1
231,232,no,non travel, research director ,unknown,4,no,yes,2,4,2,9,8,8,0
232,233,no,non travel, research director , research & development ,4,no,yes,15,7,3,14,6,9,2
233,234,no,travel rarely, healthcare representative ,unknown,3,no,yes,16,1,3,11,3,3,0
234,235,no,non travel, research scientist ,unknown,2,no,yes,13,1,2,10,3,7,0
235,236,no,travel frequently, healthcare representative ,unknown,3,yes,yes,2,2,3,20,13,9,1
236,237,no,non travel, healthcare representative ,unknown,3,no,yes,1,1,4,10,7,7,3
237,238,yes,travel rarely, sales executive ,unknown,2,no,yes,1,1,4,10,6,7,1
238,239,no,travel rarely, sales executive ,unknown,2,no,yes,14,0,3,9,7,7,1
239,240,no,non travel, healthcare representative ,unknown,4,no,no,20,2,3,30,12,13,1
240,241,no,travel rarely, laboratory technician ,unknown,2,no,yes,3,0,3,10,0,7,1
241,242,no,travel rarely, research scientist ,unknown,2,no,yes,3,1,2,11,7,9,1
242,243,no,travel rarely, manager , research & development ,4,no,yes,22,3,6,10,4,7,1
243,244,no,travel rarely, sales executive ,unknown,3,no,no,6,1,3,10,8,7,0
244,245,no,non travel, laboratory technician ,unknown,2,no,yes,1,1,2,9,5,8,1
245,246,no,travel rarely, manager ,unknown,5,no,no,7,1,3,21,12,8,0
246,247,no,non travel, research scientist ,unknown,2,no,yes,4,5,2,9,1,7,2
247,248,no,non travel, healthcare representative ,unknown,3,no,no,10,7,1,12,5,7,1
248,249,no,non travel, research scientist ,unknown,1,no,yes,8,6,1,10,7,6,1
249,250,no,travel rarely, sales executive ,unknown,2,no,no,8,1,5,10,4,8,2
250,251,no,travel frequently, laboratory technician , research & development ,1,no,no,46,1,3,11,3,10,0
251,252,no,travel rarely, manufacturing director ,unknown,3,no,yes,2,3,4,9,4,7,1
252,253,no,travel rarely, sales representative ,unknown,2,no,no,23,1,5,9,5,8,1
253,254,no,non travel, laboratory technician ,unknown,2,no,no,36,1,2,10,0,2,1
254,255,no,travel rarely, manufacturing director , research & development ,2,no,yes,25,0,2,9,3,8,2
255,256,no,travel rarely, sales executive ,unknown,3,no,no,1,1,3,14,2,1,0
256,257,no,non travel, research scientist , research & development ,2,no,yes,1,1,6,10,8,7,0
257,258,no,non travel, sales executive ,unknown,2,yes,no,7,1,2,10,0,9,0
258,259,no,travel rarely, sales executive ,unknown,4,no,no,15,0,3,20,11,10,0
259,260,no,travel rarely, sales executive ,unknown,2,no,yes,2,3,4,11,5,10,1
260,261,no,travel rarely, laboratory technician ,unknown,1,no,no,1,1,6,12,1,7,0
261,262,no,non travel, research director , research & development ,3,no,yes,1,0,3,13,5,12,2
262,263,no,non travel, sales representative ,unknown,1,no,yes,29,2,3,9,0,0,2
263,264,no,travel frequently, research scientist ,unknown,2,no,yes,8,1,3,10,1,7,1
264,265,no,travel frequently, research scientist ,unknown,1,no,yes,19,1,3,8,3,0,0
265,266,no,non travel, laboratory technician ,unknown,1,no,yes,2,0,2,7,3,6,0
266,267,no,travel frequently, manufacturing director , research & development ,3,no,yes,23,0,2,9,1,8,0
267,268,no,travel rarely, healthcare representative , research & development ,2,no,yes,27,6,3,7,7,7,2
268,269,no,non travel, sales executive ,unknown,2,no,no,8,0,2,9,4,2,1
269,270,no,non travel, laboratory technician , research & development ,2,no,no,7,3,3,7,1,7,1
270,271,no,travel rarely, manufacturing director ,unknown,2,no,no,8,1,2,11,1,8,0
271,272,no,non travel, sales executive ,unknown,2,no,yes,21,0,2,10,1,0,0
272,273,yes,travel frequently, laboratory technician ,unknown,2,yes,yes,7,1,3,9,0,6,0
273,274,no,non travel, sales executive ,unknown,3,no,no,11,0,6,9,2,8,1
274,275,no,travel frequently, research scientist ,unknown,1,no,no,23,1,2,10,0,9,3
275,276,no,non travel, sales executive ,unknown,2,no,yes,12,0,2,7,0,7,1
276,277,yes,non travel, sales executive ,unknown,2,no,no,6,4,3,7,7,7,0
277,278,no,travel rarely, sales executive ,unknown,3,yes,no,23,3,2,9,0,7,1
278,279,no,travel rarely, human resources ,unknown,1,no,yes,25,1,3,8,5,7,1
279,280,no,non travel, sales executive ,unknown,2,no,yes,9,0,2,8,0,7,3
280,281,no,travel frequently, research scientist ,unknown,2,no,no,26,1,2,20,2,13,1
281,282,no,travel rarely, sales representative , sales ,2,yes,yes,6,2,3,7,4,5,1
282,283,no,non travel, manufacturing director , research & development ,2,no,no,1,1,1,10,0,9,1
283,284,no,travel frequently, laboratory technician , research & development ,1,no,yes,3,4,3,8,7,2,0
284,285,no,travel rarely, research scientist , research & development ,1,no,yes,14,1,5,8,1,6,1
285,286,no,travel rarely, healthcare representative ,unknown,4,no,no,3,3,6,7,1,0,0
286,287,no,travel rarely, research scientist ,unknown,1,no,no,9,1,2,7,0,3,0
287,288,no,non travel, research scientist ,unknown,1,yes,yes,21,1,3,8,1,7,1
288,289,no,non travel, manufacturing director ,unknown,2,no,yes,29,3,3,7,1,7,1
289,290,no,non travel, manufacturing director ,unknown,2,yes,no,18,1,0,7,1,7,2
290,291,no,non travel, sales executive ,unknown,2,no,no,20,1,2,7,0,7,0
291,292,no,non travel, sales executive , sales ,3,no,yes,6,6,2,19,12,8,0
292,293,no,non travel, sales executive ,unknown,3,no,yes,1,1,3,10,0,8,0
293,294,yes,travel rarely, laboratory technician ,unknown,1,no,yes,2,7,3,9,1,7,0
294,295,no,non travel, manager ,unknown,5,yes,yes,2,1,2,33,15,12,0
295,296,no,non travel, research director , research & development ,5,no,yes,2,0,5,21,3,9,1
296,297,no,non travel, sales executive , sales ,2,no,yes,2,3,0,8,7,5,1
297,298,no,non travel, manager ,unknown,4,yes,no,27,3,2,7,7,7,1
298,299,no,travel rarely, healthcare representative ,unknown,4,yes,yes,20,0,2,20,4,10,0
299,300,yes,non travel, manager ,unknown,3,no,yes,10,1,2,10,9,9,1
300,301,no,non travel, manager ,unknown,3,no,no,22,7,6,7,6,2,1
301,302,no,travel frequently, sales executive ,unknown,2,no,yes,2,1,3,10,0,9,0
302,303,no,travel rarely, laboratory technician , research & development ,2,no,yes,20,3,4,10,0,8,1
303,304,yes,travel rarely, sales executive ,unknown,2,no,yes,45,1,0,8,7,4,0
304,305,no,travel rarely, sales executive ,unknown,2,no,yes,7,4,3,8,7,7,1
305,306,no,travel frequently, laboratory technician ,unknown,1,no,yes,10,0,5,8,1,7,0
306,307,no,travel rarely, sales executive ,unknown,2,no,yes,13,4,3,7,1,7,3
307,308,no,non travel, research scientist ,unknown,2,no,yes,2,7,0,7,0,7,0
308,309,no,non travel, sales executive ,unknown,2,no,no,10,3,6,7,0,1,0
309,310,no,travel frequently, laboratory technician , research & development ,2,no,no,10,1,3,9,0,0,1
310,311,yes,travel rarely, laboratory technician ,unknown,1,no,no,8,1,4,7,0,7,0
311,312,no,non travel, sales executive , sales ,2,no,no,8,1,3,8,0,7,1
312,313,no,travel rarely, sales executive ,unknown,2,yes,no,10,1,2,7,1,7,2
313,314,no,non travel, research scientist ,unknown,2,no,no,6,4,2,7,6,7,2
314,315,no,travel rarely, sales executive ,unknown,2,no,yes,1,1,3,8,7,7,1
315,316,no,travel rarely, laboratory technician ,unknown,1,yes,yes,10,3,3,7,1,7,1
316,317,yes,non travel, sales executive ,unknown,2,no,no,4,1,5,8,7,7,0
317,318,no,travel rarely, sales executive ,unknown,2,no,yes,14,4,2,7,0,7,1
318,319,no,non travel, laboratory technician ,unknown,1,no,no,14,1,2,18,12,17,1
319,320,no,non travel, sales executive ,unknown,4,no,yes,6,9,0,7,7,7,3
320,321,no,travel rarely, sales executive , sales ,3,no,yes,1,1,2,10,0,7,1
321,322,no,non travel, manufacturing director ,unknown,2,no,no,18,2,5,10,0,8,1
322,323,no,non travel, laboratory technician ,unknown,1,no,no,2,0,2,11,6,7,0
323,324,no,travel rarely, healthcare representative ,unknown,3,yes,no,16,4,2,8,0,0,0
324,325,no,travel rarely, sales executive ,unknown,2,no,yes,2,2,2,9,6,7,1
325,326,no,travel rarely, sales executive ,unknown,2,no,yes,2,0,3,8,3,7,1
326,327,yes,travel frequently, human resources ,unknown,1,yes,yes,17,0,2,7,1,0,1
327,328,no,non travel, healthcare representative ,unknown,2,yes,yes,2,2,3,8,0,7,0
