,age,dailyrate,distancefromhome,education,employeecount,employeenumber,environmentsatisfaction,hourlyrate,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,numberchildren
76,38,556.2566609977324,8,3,1,77,4,,2,2,2,4492.84,11681.39,1,16,3.0,3,1,20.0,3,3.0,20,,0,7,4492.84,1985,,
77,37,1032.4872861766066,10,3,1,78,3,,4,3,4,8339.32,21682.23,1,25,4.0,1,1,16.0,2,3.0,16,,6,8,8339.32,1986,100071.84,
78,30,556.2566609977324,2,3,1,79,3,,2,2,4,,11681.39,1,19,,1,3,11.0,3,3.0,11,,10,8,,1993,53914.11,
79,58,1431.2380952380954,-18,4,1,80,4,,3,4,3,11560.0,30056.0,0,13,3.0,3,0,38.0,1,2.0,37,,1,8,11560.0,1965,138720.0,
80,34,1032.4872861766066,5,3,1,81,3,,2,3,1,8339.32,21682.23,2,12,3.0,4,0,14.0,6,3.0,11,,5,8,8339.32,1989,,
81,58,1032.4872861766066,23,4,1,82,4,,3,3,4,8339.32,21682.23,1,12,3.0,4,1,40.0,3,2.0,40,,15,6,8339.32,1965,100071.84,
82,38,1032.4872861766066,3,3,1,83,1,,3,3,3,8339.32,21682.23,0,12,3.0,3,2,,6,2.0,16,,5,13,8339.32,1985,,
83,29,1032.4872861766066,1,1,1,84,2,,3,3,4,8339.32,21682.23,1,14,3.0,4,1,11.0,5,3.0,11,,4,1,8339.32,1994,100071.84,
84,55,1964.9603174603176,1,3,1,85,4,245.6200396825397,3,5,1,15870.83,41264.17,0,14,3.0,3,0,37.0,2,3.0,36,,4,13,15870.83,1968,190450.0,
85,41,1652.34126984127,-10,4,1,86,4,,3,4,2,13345.83,34699.17,1,19,3.0,2,0,,2,3.0,22,,0,4,13345.83,1982,,
86,39,991.8174603174604,1,3,1,87,3,123.97718253968254,4,3,4,8010.83,20828.17,0,17,,1,3,19.0,5,2.0,18,,3,7,8010.83,1984,96130.0,
87,38,1187.5396825396826,15,2,1,88,3,148.44246031746033,2,3,4,,24938.33,0,14,3.0,2,1,,3,3.0,11,,2,9,,1985,115100.0,
88,43,1582.7713464696226,12,3,1,89,1,,2,4,2,12783.92,33238.2,1,11,3.0,3,1,,3,,25,,3,9,12783.92,1980,153407.07,
89,31,444.26984126984127,-30,2,1,90,2,,3,2,1,3588.33,9329.67,1,12,3.0,2,1,13.0,5,1.0,13,,3,12,3588.33,1992,,
90,50,1758.7142857142858,-27,4,1,91,27,,2,4,3,14205.0,36933.0,0,15,3.0,2,1,28.0,2,3.0,27,,15,7,14205.0,1973,170460.0,
91,35,1032.4872861766066,25,3,1,92,4,129.06091077207583,2,3,2,8339.32,21682.23,3,16,,1,0,,2,3.0,13,,4,8,8339.32,1988,100071.84,
92,47,522.7857142857143,16,4,1,93,3,,4,2,3,4222.5,10978.5,1,19,3.0,3,0,20.0,3,,19,,2,7,4222.5,1976,,
93,35,1032.4872861766066,25,4,1,94,3,129.06091077207583,3,3,3,8339.32,21682.23,1,11,,3,1,,3,2.0,16,,10,1,8339.32,1988,100071.84,
94,40,1032.4872861766066,20,4,1,95,1,129.06091077207583,3,3,4,,21682.23,4,20,4.0,4,1,14.0,6,3.0,11,,11,1,,1983,100071.84,
95,45,556.2566609977324,9,4,1,96,2,,2,2,3,4492.84,11681.39,1,13,3.0,4,1,15.0,2,3.0,15,,4,12,4492.84,1978,53914.11,
96,33,290.03550973654063,9,3,1,97,1,,3,1,4,,6090.75,0,13,3.0,2,1,15.0,5,3.0,14,,4,10,,1990,28111.13,
97,36,380.9206349206349,3,3,1,98,3,,3,1,2,3076.67,7999.33,1,12,3.0,3,0,12.0,2,2.0,11,,0,7,3076.67,1987,36920.0,
98,45,1973.9841269841268,-13,3,1,99,1,246.74801587301585,1,5,2,15943.72,41453.67,2,16,3.0,1,0,26.0,2,3.0,24,,1,11,15943.72,1978,191324.62,
99,51,2047.7063492063487,-27,3,1,100,27,255.96329365079364,3,5,2,,43001.83,4,24,,1,1,,5,2.0,29,,11,10,,1972,198470.0,
100,34,238.12698412698413,7,2,1,101,2,,3,1,3,,5000.67,0,25,4.0,2,1,12.0,4,3.0,11,,5,7,,1989,23080.0,
101,43,1582.7713464696226,15,2,1,102,3,,2,4,3,,33238.2,1,24,4.0,1,1,,3,3.0,14,,6,11,,1980,153407.07,
102,34,556.2566609977324,5,2,1,103,2,,2,2,4,4492.84,11681.39,1,14,3.0,3,1,,3,,15,,4,13,4492.84,1989,53914.11,
103,38,290.03550973654063,2,3,1,104,1,,3,1,2,2342.59,6090.75,5,13,3.0,4,3,13.0,3,3.0,11,,3,8,2342.59,1985,28111.13,
104,48,1973.9841269841268,10,3,1,105,4,,2,5,2,,41453.67,4,12,3.0,4,0,29.0,3,3.0,22,,12,9,,1975,191324.62,
105,34,592.9444444444445,22,4,1,106,3,,2,2,4,4789.17,12451.83,1,15,3.0,2,0,16.0,3,3.0,15,,6,11,4789.17,1989,57470.0,
106,32,1075.2857142857142,-31,4,1,107,31,134.41071428571428,3,3,4,8685.0,22581.0,1,19,3.0,3,2,14.0,3,3.0,14,,5,7,8685.0,1991,104220.0,
107,29,1032.4872861766066,21,4,1,108,2,,4,3,1,8339.32,21682.23,1,11,3.0,3,1,10.0,1,3.0,10,,8,8,8339.32,1994,,
108,46,1032.4872861766066,1,3,1,109,3,,2,3,1,,21682.23,2,13,3.0,3,1,21.0,5,2.0,10,,9,5,,1977,100071.84,
109,30,654.8492063492064,9,3,1,110,3,,3,2,4,5289.17,13751.83,0,19,3.0,4,0,,2,1.0,11,,4,7,5289.17,1993,63470.0,
110,45,242.25396825396828,9,3,1,111,2,,3,2,2,1956.67,5087.33,8,18,3.0,3,1,20.0,2,,17,,0,15,1956.67,1978,23480.0,
111,30,1032.4872861766066,5,3,1,112,2,129.06091077207583,3,3,4,8339.32,21682.23,2,12,3.0,3,1,,2,3.0,10,,7,4,8339.32,1993,100071.84,
112,30,316.95238095238096,9,3,1,113,3,,3,2,1,,6656.0,1,11,,3,2,12.0,4,3.0,12,,6,10,,1993,30720.0,
113,34,556.2566609977324,-29,1,1,114,4,,2,2,3,4492.84,11681.39,1,17,3.0,3,0,10.0,2,2.0,10,,1,9,4492.84,1989,,
114,51,1288.6507936507935,8,4,1,115,2,,2,3,2,10408.33,27061.67,5,16,3.0,4,2,16.0,5,1.0,10,,4,7,10408.33,1972,124900.0,
115,34,556.2566609977324,-39,4,1,116,39,69.53208262471655,2,2,1,4492.84,11681.39,6,13,3.0,2,1,13.0,3,3.0,11,,5,9,4492.84,1989,53914.11,
116,35,827.4603174603175,16,3,1,117,3,,3,3,2,6683.33,17376.67,0,15,3.0,3,2,12.0,3,2.0,11,,6,9,6683.33,1988,80200.0,
117,45,1032.4872861766066,7,3,1,118,1,,3,3,1,8339.32,21682.23,1,18,3.0,1,1,24.0,2,3.0,24,,9,11,8339.32,1978,100071.84,
118,39,1760.9841269841272,10,1,1,119,3,,3,4,1,,36980.67,1,14,,4,0,21.0,3,3.0,21,,11,10,,1984,170680.0,
119,31,922.6904761904764,7,2,1,120,3,,2,3,3,7452.5,19376.5,1,24,4.0,1,1,10.0,2,3.0,10,,8,9,7452.5,1992,89430.0,
120,39,1988.3809523809523,7,2,1,121,3,,2,5,4,16060.0,41756.0,1,15,3.0,1,1,,2,3.0,21,,13,3,16060.0,1984,192720.0,
121,45,556.2566609977324,8,4,1,122,4,69.53208262471655,3,2,4,4492.84,11681.39,9,14,3.0,1,2,12.0,3,3.0,10,,9,8,4492.84,1978,53914.11,
122,30,556.2566609977324,5,3,1,123,4,,2,2,3,4492.84,11681.39,1,13,3.0,3,3,10.0,2,3.0,10,,1,2,4492.84,1993,,
123,31,1032.4872861766066,7,4,1,124,3,129.06091077207583,3,3,4,8339.32,21682.23,1,14,3.0,3,0,11.0,2,2.0,11,,4,10,8339.32,1992,100071.84,
124,36,1032.4872861766066,3,4,1,125,1,,2,3,4,8339.32,21682.23,4,11,3.0,1,1,16.0,2,3.0,13,,1,12,8339.32,1987,100071.84,
125,36,1032.4872861766066,2,2,1,126,2,,2,3,3,,21682.23,1,13,3.0,2,2,10.0,2,3.0,10,,9,0,,1987,100071.84,
126,55,1582.7713464696226,18,5,1,127,1,197.8464183087028,3,4,2,12783.92,33238.2,3,23,4.0,4,0,37.0,2,3.0,10,,7,7,12783.92,1968,153407.07,
127,35,556.2566609977324,1,3,1,128,2,,3,2,3,4492.84,11681.39,9,11,3.0,3,0,15.0,2,3.0,11,,6,9,4492.84,1988,53914.11,
128,42,1032.4872861766066,24,3,1,129,4,129.06091077207583,3,3,1,8339.32,21682.23,1,21,4.0,4,1,10.0,5,2.0,10,,5,8,8339.32,1981,100071.84,
129,52,575.4047619047619,6,2,1,130,4,71.92559523809524,3,2,1,4647.5,12083.5,3,12,,2,2,18.0,3,3.0,10,,6,9,4647.5,1971,55770.0,
130,49,1973.9841269841268,18,4,1,131,4,246.74801587301585,2,5,3,,41453.67,1,17,3.0,3,1,,5,3.0,31,,0,9,,1974,191324.62,
131,34,277.6428571428572,1,5,1,132,2,,3,1,4,2242.5,5830.5,1,12,3.0,4,1,,4,2.0,10,,8,8,2242.5,1989,26910.0,
132,33,290.03550973654063,1,4,1,133,4,,3,1,4,2342.59,6090.75,1,13,3.0,3,0,10.0,2,2.0,10,,7,8,2342.59,1990,28111.13,
133,33,1032.4872861766066,7,3,1,134,3,,3,3,3,8339.32,21682.23,0,11,3.0,4,0,,3,4.0,13,,3,7,8339.32,1990,,
134,53,1582.7713464696226,23,4,1,135,4,,3,4,4,12783.92,33238.2,6,18,3.0,3,0,33.0,0,3.0,12,,3,8,12783.92,1970,153407.07,
135,49,763.8015873015873,8,2,1,136,1,,3,3,2,6169.17,16039.83,4,11,3.0,3,1,29.0,3,2.0,26,,1,7,6169.17,1974,74030.0,
136,35,1032.4872861766066,-21,4,1,137,21,129.06091077207583,3,3,4,,21682.23,6,13,3.0,2,1,,2,3.0,10,,0,8,,1988,100071.84,
137,38,910.3095238095236,17,1,1,138,3,113.78869047619048,2,3,3,7352.5,19116.5,0,18,3.0,1,1,20.0,4,2.0,19,,1,9,7352.5,1985,88230.0,
138,46,1582.7713464696226,3,1,1,139,1,,3,4,3,12783.92,33238.2,3,12,3.0,4,1,,3,3.0,12,,4,9,12783.92,1977,153407.07,
139,36,556.2566609977324,18,4,1,140,1,69.53208262471655,3,2,4,4492.84,11681.39,2,20,4.0,1,0,18.0,0,3.0,11,,0,9,4492.84,1987,53914.11,
140,42,1582.7713464696226,-15,3,1,141,15,,3,4,1,,33238.2,0,12,,2,0,,2,2.0,21,,13,14,,1981,153407.07,
141,34,556.2566609977324,1,3,1,142,4,,2,2,1,4492.84,11681.39,0,20,4.0,3,0,14.0,3,3.0,13,,4,9,4492.84,1989,,
142,30,369.2619047619048,1,3,1,143,4,,3,1,2,2982.5,7754.5,0,21,4.0,1,1,12.0,2,3.0,11,,5,7,2982.5,1993,35790.0,
143,54,1834.3412698412696,3,3,1,144,4,,3,4,4,14815.83,38521.17,3,14,3.0,1,0,36.0,2,3.0,10,,0,9,14815.83,1969,177790.0,
144,31,556.2566609977324,24,3,1,145,3,,2,2,1,4492.84,11681.39,1,19,,2,0,10.0,2,3.0,10,,1,8,4492.84,1992,53914.11,
145,44,1879.119047619048,5,3,1,146,2,,3,5,2,15177.5,39461.5,7,11,3.0,3,1,26.0,5,3.0,22,,3,10,15177.5,1979,182130.0,
146,55,1400.8015873015877,8,1,1,147,4,175.10019841269843,2,4,2,,29416.83,1,15,3.0,4,1,,3,3.0,33,,15,0,,1968,135770.0,
147,44,1979.920634920635,4,2,1,148,3,247.49007936507937,4,5,1,15991.67,41578.33,1,14,3.0,4,2,,4,2.0,25,,14,13,15991.67,1979,191900.0,
148,34,556.2566609977324,11,3,1,149,3,,2,2,2,4492.84,11681.39,4,11,3.0,4,2,14.0,5,4.0,10,,1,8,4492.84,1989,,
149,39,1766.65873015873,13,4,1,150,3,220.8323412698413,2,4,2,,37099.83,6,13,3.0,4,2,,4,3.0,19,,15,2,,1984,171230.0,
150,55,1979.6111111111115,2,2,1,151,4,,1,5,3,15989.17,41571.83,4,14,,4,1,23.0,5,3.0,19,,9,11,15989.17,1968,191870.0,
151,51,1582.7713464696226,5,3,1,152,3,197.8464183087028,3,4,2,12783.92,33238.2,1,11,3.0,2,1,,2,3.0,33,,0,10,12783.92,1972,153407.07,
152,58,1032.571428571429,-14,4,1,153,14,,2,3,1,8340.0,21684.0,7,14,3.0,4,0,,0,2.0,10,,5,9,8340.0,1965,,
153,48,1032.4872861766066,4,3,1,154,4,129.06091077207583,3,3,4,8339.32,21682.23,1,11,3.0,3,0,11.0,2,3.0,10,,0,8,8339.32,1975,100071.84,
154,29,824.1587301587302,17,3,1,155,2,,2,3,1,6656.67,17307.33,1,13,3.0,1,0,,3,2.0,10,,0,9,6656.67,1994,79880.0,
155,34,556.2566609977324,3,3,1,156,4,,1,2,1,4492.84,11681.39,3,18,,4,0,15.0,2,3.0,13,,3,12,4492.84,1989,53914.11,
156,42,290.03550973654063,9,2,1,157,1,,3,1,4,2342.59,6090.75,1,13,3.0,3,0,12.0,3,3.0,12,,5,8,2342.59,1981,,
157,57,556.2566609977324,1,2,1,158,2,,4,2,3,4492.84,11681.39,0,24,4.0,1,1,13.0,2,2.0,12,,2,8,4492.84,1966,53914.11,
158,34,556.2566609977324,24,4,1,159,1,,2,2,2,,11681.39,0,23,4.0,3,0,16.0,2,4.0,15,,10,10,,1989,53914.11,
159,54,1582.7713464696226,11,4,1,160,2,,3,4,4,12783.92,33238.2,3,20,,1,1,26.0,2,3.0,14,,1,12,12783.92,1969,,
160,34,730.7857142857142,1,3,1,161,4,91.34821428571428,2,3,3,5902.5,15346.5,1,14,3.0,4,0,,3,3.0,10,,8,6,5902.5,1989,70830.0,
161,29,487.2936507936508,3,1,1,162,2,,3,1,1,3935.83,10233.17,1,18,3.0,4,0,,3,,10,,1,5,3935.83,1994,,
162,35,351.51587301587307,28,3,1,163,2,,4,2,3,2839.17,7381.83,1,17,,4,2,,3,2.0,10,,6,8,2839.17,1988,34070.0,
163,35,556.2566609977324,12,4,1,164,4,69.53208262471655,3,2,4,4492.84,11681.39,3,24,4.0,1,0,13.0,2,4.0,11,,6,7,4492.84,1988,53914.11,
164,34,302.1984126984127,19,3,1,165,2,37.77480158730159,2,1,4,2440.83,6346.17,1,12,3.0,2,0,10.0,3,3.0,10,,8,7,2440.83,1989,29290.0,
165,43,556.2566609977324,2,3,1,166,4,,3,2,4,4492.84,11681.39,1,17,3.0,1,1,10.0,3,3.0,10,,8,8,4492.84,1980,53914.11,
166,58,1582.7713464696226,2,3,1,167,2,197.8464183087028,3,4,2,12783.92,33238.2,4,22,4.0,4,1,37.0,0,2.0,16,,14,14,12783.92,1965,153407.07,
167,36,556.2566609977324,-14,4,1,168,14,,2,2,3,4492.84,11681.39,1,13,3.0,1,1,10.0,4,3.0,10,,1,7,4492.84,1987,53914.11,
168,43,1032.4872861766066,11,3,1,169,1,129.06091077207583,3,3,3,8339.32,21682.23,1,17,3.0,2,1,10.0,1,3.0,10,,0,9,8339.32,1980,100071.84,
