,employeenumber,environmentsatisfaction,relationshipsatisfaction,jobsatisfaction,jobinvolvement,performancerating,worklifebalance
143,144,4.0,1,4,3,3,3
144,145,3.0,2,1,2,3,3
145,146,2.0,3,2,3,3,3
146,147,4.0,4,2,2,3,3
147,148,3.0,4,1,4,3,2
148,149,3.0,4,2,2,3,4
149,150,3.0,4,2,2,3,3
150,151,4.0,4,3,1,3,3
151,152,3.0,2,2,3,3,3
152,153,4.0,4,1,2,3,2
153,154,4.0,3,4,3,3,3
154,155,2.0,1,1,2,3,2
155,156,4.0,4,1,1,3,3
156,157,1.0,3,4,3,3,3
157,158,2.0,1,3,4,4,2
158,159,1.0,3,2,2,4,4
159,160,2.0,1,4,3,3,3
160,161,4.0,4,3,2,3,3
161,162,2.0,4,1,3,3,3
162,163,2.0,4,3,4,3,2
163,164,4.0,1,4,3,4,4
164,165,2.0,2,4,2,3,3
165,166,4.0,1,4,3,3,3
166,167,2.0,4,2,3,4,2
167,168,4.0,1,3,2,3,3
168,169,1.0,2,3,3,3,3
169,170,3.0,1,2,4,3,3
170,171,4.0,4,3,2,3,3
171,172,4.0,1,3,3,3,4
172,173,4.0,4,3,3,3,1
173,174,4.0,1,4,2,3,2
174,175,1.0,3,4,2,3,3
175,176,4.0,4,3,3,3,3
176,177,3.0,4,4,3,4,3
177,178,2.0,4,1,3,4,2
178,179,1.0,2,4,3,4,3
179,180,4.0,3,4,2,3,3
180,181,3.0,4,4,2,3,3
181,182,3.0,2,2,2,3,2
182,183,2.0,1,3,3,3,3
183,184,3.0,1,2,3,3,3
184,185,2.0,4,4,3,3,3
185,186,1.0,1,3,3,3,3
186,187,4.0,2,3,3,3,3
187,188,1.0,4,4,2,4,3
188,189,4.0,3,4,1,3,2
189,190,3.0,3,3,2,4,3
190,191,2.0,3,4,3,3,3
191,192,1.0,3,4,3,3,3
192,193,1.0,1,4,3,3,3
193,194,2.0,3,2,3,3,3
194,195,4.0,3,3,2,3,2
195,196,1.0,3,2,2,3,3
196,197,4.0,4,4,3,3,3
197,198,2.0,3,3,3,3,3
198,199,1.0,4,1,3,3,1
199,200,3.0,3,1,3,3,3
200,201,3.0,4,2,3,4,4
201,202,1.0,1,1,3,3,3
202,203,4.0,3,3,4,3,3
203,204,1.0,4,4,3,3,3
204,205,2.0,4,2,3,3,2
205,206,3.0,1,4,3,3,4
206,207,3.0,2,4,2,3,3
207,208,1.0,1,1,4,3,3
208,209,3.0,3,4,2,4,3
209,210,2.0,4,2,3,3,3
210,211,3.0,1,4,3,3,2
211,212,4.0,4,3,3,3,2
212,213,3.0,3,3,3,4,3
213,214,4.0,2,4,3,3,3
214,215,4.0,4,3,3,3,3
215,216,4.0,3,1,3,3,3
216,217,4.0,2,4,2,3,2
217,218,4.0,2,2,2,3,3
218,219,4.0,1,1,2,3,1
219,220,2.0,1,4,3,3,3
220,221,4.0,2,4,2,3,2
221,222,4.0,4,3,4,3,3
222,223,3.0,3,2,3,3,4
223,224,3.0,1,4,1,3,3
224,225,4.0,1,3,3,3,2
225,226,3.0,4,3,3,3,2
226,227,3.0,3,4,3,3,3
227,228,3.0,4,1,3,3,4
228,229,4.0,3,1,3,4,3
229,230,3.0,1,2,4,3,3
230,231,4.0,3,2,2,3,3
231,232,4.0,2,2,4,3,2
232,233,2.0,4,1,3,3,2
233,234,4.0,4,2,2,3,1
234,235,1.0,1,4,3,3,3
235,236,4.0,3,4,3,3,1
236,237,1.0,1,2,3,3,3
237,238,2.0,4,1,2,3,3
238,239,3.0,4,2,3,3,3
239,240,2.0,3,3,3,3,3
240,241,3.0,4,3,2,3,3
241,242,4.0,3,2,3,3,3
242,243,2.0,3,3,3,4,3
243,244,4.0,2,3,3,3,3
244,245,4.0,4,4,3,3,3
245,246,2.0,2,2,3,3,2
246,247,4.0,4,2,3,3,2
247,248,4.0,4,1,3,3,3
248,249,4.0,2,1,4,3,3
249,250,2.0,3,3,4,4,3
250,251,4.0,2,4,3,3,4
251,252,4.0,3,4,3,3,2
252,253,2.0,4,3,2,4,3
253,254,2.0,1,3,3,3,3
254,255,2.0,4,4,2,3,2
255,256,1.0,1,4,3,4,2
256,257,4.0,2,1,1,3,3
257,258,3.0,4,4,3,3,3
258,259,2.0,1,1,3,3,3
259,260,2.0,3,2,3,3,3
260,261,4.0,3,2,3,3,2
261,262,3.0,1,2,3,3,1
262,263,1.0,2,4,3,3,3
263,264,3.0,4,2,2,4,3
264,265,4.0,3,3,3,3,3
265,266,4.0,3,4,3,3,2
266,267,4.0,2,3,2,4,3
267,268,3.0,2,3,3,3,2
268,269,3.0,4,2,3,3,3
269,270,4.0,4,4,3,4,2
270,271,3.0,4,4,3,4,3
271,272,3.0,4,4,3,4,1
272,273,1.0,4,3,1,4,3
273,274,2.0,3,4,3,3,3
274,275,1.0,3,3,1,4,2
275,276,4.0,1,2,3,3,4
276,277,2.0,2,3,1,3,2
277,278,3.0,3,3,3,3,3
278,279,3.0,4,3,3,4,3
279,280,4.0,4,4,1,3,4
280,281,2.0,1,2,3,3,3
281,282,2.0,4,3,3,4,1
282,283,4.0,1,3,3,3,3
283,284,4.0,3,2,3,3,2
284,285,4.0,4,2,3,3,3
285,286,4.0,3,2,3,3,3
286,287,4.0,4,2,3,3,2
287,288,2.0,1,1,4,3,2
288,289,4.0,1,4,3,3,1
289,290,4.0,1,4,3,3,3
290,291,4.0,4,3,3,3,3
291,292,4.0,4,4,2,3,3
292,293,3.0,1,3,3,3,4
293,294,1.0,1,1,3,3,4
294,295,1.0,4,3,2,3,4
295,296,1.0,4,3,3,3,3
296,297,4.0,4,4,2,3,3
297,298,4.0,2,2,1,3,2
298,299,3.0,2,4,3,3,3
299,300,1.0,4,2,3,3,2
300,301,2.0,2,2,4,3,2
301,302,2.0,1,4,3,3,3
302,303,2.0,4,4,3,3,3
303,304,4.0,2,4,2,3,3
304,305,2.0,2,4,4,3,2
305,306,3.0,1,4,3,3,3
306,307,4.0,4,4,3,3,3
307,308,1.0,3,4,4,3,2
308,309,2.0,3,4,2,3,2
309,310,3.0,2,3,2,3,4
310,311,2.0,4,1,1,3,2
311,312,2.0,1,2,3,3,3
312,313,4.0,1,2,2,3,3
313,314,3.0,1,1,4,3,3
314,315,3.0,2,3,3,3,3
315,316,4.0,3,3,4,3,3
316,317,1.0,3,2,3,3,3
317,318,3.0,3,4,3,3,2
318,319,4.0,3,1,3,3,2
319,320,3.0,4,1,4,3,2
320,321,2.0,3,1,4,3,3
321,322,3.0,3,3,3,3,2
322,323,3.0,3,4,3,3,2
323,324,4.0,3,3,3,3,3
324,325,2.0,1,4,3,3,3
325,326,4.0,2,2,3,3,4
326,327,2.0,2,3,3,3,3
327,328,1.0,1,3,2,3,3
328,329,4.0,4,4,4,3,3
329,330,1.0,4,4,4,4,4
330,331,4.0,2,3,3,3,3
331,332,4.0,4,1,3,4,4
332,333,3.0,3,3,3,3,3
333,334,3.0,3,2,3,3,4
334,335,4.0,1,4,2,3,3
335,336,2.0,4,4,1,3,3
336,337,4.0,2,2,2,3,4
337,338,4.0,1,3,2,3,3
338,339,4.0,4,4,3,3,2
339,340,2.0,3,4,4,3,3
340,341,3.0,4,1,3,3,3
341,342,3.0,4,4,3,3,3
342,343,4.0,4,1,3,3,3
343,344,4.0,3,1,3,4,2
344,345,4.0,2,3,2,3,3
345,346,4.0,4,2,1,3,3
346,347,1.0,1,1,4,3,3
347,348,3.0,4,4,3,3,2
348,349,3.0,3,4,3,3,2
349,350,2.0,1,3,1,3,3
350,351,1.0,2,1,2,3,3
351,352,2.0,1,3,3,3,2
352,353,1.0,4,1,4,3,3
353,354,4.0,4,2,4,4,3
354,355,2.0,2,4,3,3,2
355,356,3.0,1,2,3,3,3
356,357,3.0,3,3,4,4,3
357,358,3.0,3,4,3,3,2
358,359,2.0,1,2,3,4,3
359,360,3.0,1,3,2,3,3
360,361,2.0,4,1,3,3,3
361,362,2.0,3,4,1,3,2
362,363,2.0,2,3,2,3,4
363,364,4.0,2,1,2,3,3
364,365,4.0,3,4,3,3,1
365,366,3.0,3,1,3,3,4
366,367,3.0,1,4,2,3,3
367,368,4.0,2,2,3,3,2
368,369,1.0,4,3,4,3,3
369,370,1.0,4,4,3,3,3
370,371,4.0,2,3,3,3,3
371,372,3.0,3,3,3,3,3
372,373,2.0,3,1,4,3,2
373,374,4.0,2,4,4,3,3
374,375,3.0,4,2,3,3,3
375,376,4.0,1,3,3,3,3
376,377,4.0,2,3,3,3,3
377,378,3.0,1,2,2,3,3
378,379,3.0,2,1,3,3,2
379,380,3.0,2,1,2,3,4
380,381,2.0,1,1,2,3,2
381,382,3.0,4,3,3,3,4
382,383,4.0,1,1,3,4,3
383,384,4.0,2,3,2,4,3
384,385,4.0,2,4,3,3,4
385,386,3.0,2,3,2,3,3
386,387,4.0,2,2,3,3,2
387,388,3.0,3,1,3,3,3
388,389,1.0,4,4,3,3,3
389,390,3.0,1,3,2,3,3
390,391,2.0,3,4,2,3,2
391,392,2.0,3,3,3,3,2
392,393,1.0,2,4,4,4,3
393,394,3.0,2,2,2,3,4
394,395,4.0,2,3,3,3,3
395,396,3.0,4,1,3,3,3
396,397,2.0,1,3,3,3,2
397,398,3.0,3,3,1,3,3
398,399,3.0,1,3,3,3,2
399,400,4.0,2,4,4,3,3
400,401,4.0,4,3,3,3,3
401,402,3.0,3,1,1,4,3
402,403,1.0,4,1,3,3,2
403,404,3.0,2,4,1,3,3
404,405,4.0,2,4,2,3,2
405,406,4.0,4,4,3,3,2
406,407,4.0,4,4,2,3,4
407,408,1.0,4,4,3,3,3
408,409,2.0,1,3,3,3,3
409,410,3.0,3,4,4,3,4
410,411,4.0,1,3,3,3,3
411,412,2.0,3,2,3,3,2
412,413,1.0,1,3,3,3,3
413,414,4.0,4,4,3,3,2
414,415,2.0,4,1,3,3,3
415,416,4.0,4,1,4,3,2
416,417,4.0,2,4,2,3,3
417,418,1.0,3,3,4,3,2
418,419,2.0,1,3,3,3,3
419,420,1.0,1,3,2,3,1
420,421,3.0,3,1,3,3,3
421,422,3.0,4,1,4,3,3
422,423,3.0,1,4,3,3,3
423,424,4.0,4,4,3,3,2
424,425,2.0,4,4,4,3,4
425,426,3.0,3,3,3,3,3
426,427,1.0,1,4,3,3,3
427,428,1.0,1,4,3,3,4
428,429,2.0,2,1,1,3,3
429,430,3.0,2,2,3,3,3
430,431,3.0,3,3,2,3,3
431,432,1.0,3,1,2,3,1
432,433,3.0,3,1,1,3,3
433,434,3.0,4,4,3,4,3
434,435,3.0,3,3,3,3,3
435,436,3.0,2,4,2,3,3
436,437,2.0,4,4,3,3,2
437,438,3.0,1,1,1,3,3
438,439,1.0,1,1,2,3,3
439,440,3.0,1,4,4,3,3
440,441,2.0,4,1,3,3,3
441,442,4.0,1,1,2,3,3
442,443,4.0,1,4,2,3,3
443,444,1.0,3,4,3,3,3
444,445,4.0,3,3,4,3,3
445,446,3.0,1,3,3,3,3
446,447,4.0,3,3,3,3,3
447,448,4.0,3,4,3,4,3
448,449,3.0,2,4,4,3,3
449,450,3.0,3,4,3,3,2
450,451,3.0,4,2,3,3,3
451,452,4.0,2,3,3,3,3
452,453,4.0,4,1,2,3,3
453,454,3.0,1,1,2,3,3
454,455,4.0,4,2,3,3,2
455,456,2.0,2,2,3,3,3
456,457,2.0,2,4,3,3,3
457,458,1.0,1,4,2,3,3
458,459,3.0,4,4,3,3,3
459,460,2.0,3,4,3,3,3
460,461,1.0,2,3,3,3,3
461,462,4.0,4,2,3,4,4
462,463,3.0,2,3,3,4,4
463,464,1.0,3,4,3,4,3
464,465,3.0,3,2,3,4,3
465,466,1.0,1,1,3,3,3
466,467,1.0,2,3,4,3,2
467,468,3.0,2,1,3,3,4
468,469,3.0,1,4,4,3,3
469,470,3.0,3,4,2,3,3
470,471,3.0,3,2,3,3,4
471,472,4.0,3,3,3,3,2
472,473,3.0,4,1,3,3,3
473,474,4.0,1,4,3,3,3
474,475,1.0,3,4,3,3,3
475,476,4.0,3,3,3,3,3
476,477,3.0,3,3,3,4,4
477,478,2.0,2,3,3,3,3
478,479,2.0,1,4,3,3,3
479,480,1.0,1,4,3,3,3
480,481,4.0,3,4,2,3,3
481,482,1.0,3,2,2,3,3
482,483,4.0,4,3,2,4,3
483,484,1.0,3,4,3,3,3
484,485,4.0,1,1,2,3,3
485,486,1.0,3,2,3,3,3
486,487,1.0,4,4,2,3,3
487,488,1.0,3,4,3,3,3
488,489,4.0,2,1,2,3,2
489,490,3.0,4,3,3,4,3
490,491,4.0,3,1,2,3,3
491,492,4.0,2,2,3,3,3
492,493,3.0,4,2,3,3,3
493,494,2.0,4,3,3,3,4
494,495,2.0,3,3,3,3,3
495,496,2.0,2,4,2,3,2
496,497,4.0,1,1,2,3,1
497,498,3.0,1,1,2,3,4
498,499,1.0,3,3,3,3,2
499,500,3.0,1,4,3,4,3
500,501,1.0,4,1,3,3,3
501,502,4.0,4,4,3,4,1
502,503,4.0,3,4,2,3,3
503,504,4.0,3,1,3,3,3
504,505,2.0,3,3,4,3,3
505,506,2.0,4,1,2,3,3
506,507,4.0,4,1,3,3,3
507,508,2.0,4,2,3,3,3
508,509,3.0,4,3,4,3,4
509,510,4.0,3,1,3,3,4
510,511,3.0,2,3,3,3,3
511,512,3.0,2,2,1,3,2
512,513,4.0,3,1,3,3,4
513,514,3.0,4,4,1,3,3
514,515,3.0,3,4,2,4,3
515,516,4.0,1,3,4,3,3
516,517,4.0,4,1,3,3,2
517,518,4.0,3,2,2,3,3
518,519,3.0,2,4,3,3,2
519,520,4.0,4,1,2,3,3
520,521,1.0,1,3,3,3,2
521,522,4.0,4,2,2,3,2
522,523,4.0,4,3,2,3,3
523,524,4.0,3,3,3,4,3
524,525,1.0,3,3,2,3,3
525,526,2.0,3,2,2,3,3
526,527,3.0,2,4,3,3,2
527,528,3.0,1,4,3,3,3
528,529,3.0,1,2,3,4,1
529,530,2.0,4,4,3,3,3
530,531,4.0,4,4,2,3,4
531,532,2.0,3,4,3,3,4
532,533,4.0,4,4,3,3,4
533,534,1.0,4,2,3,3,3
534,535,2.0,2,2,3,3,2
535,536,2.0,2,4,4,3,3
536,537,1.0,3,2,3,3,3
537,538,2.0,4,4,2,3,3
538,539,4.0,2,4,4,3,3
539,540,4.0,2,4,3,4,2
540,541,4.0,3,4,3,4,3
541,542,3.0,3,1,2,3,3
542,543,3.0,2,3,3,4,4
543,544,4.0,4,1,2,3,2
544,545,3.0,1,2,4,3,3
545,546,3.0,1,4,3,4,3
546,547,4.0,4,2,3,3,2
547,548,2.0,1,3,3,4,2
548,549,4.0,3,1,2,3,3
549,550,1.0,4,4,4,3,3
550,551,3.0,4,1,3,3,2
551,552,3.0,2,4,3,4,2
552,553,1.0,3,4,3,3,2
553,554,3.0,1,3,4,3,1
554,555,4.0,2,1,3,3,2
555,556,4.0,3,2,3,3,2
556,557,3.0,3,4,3,4,3
557,558,3.0,3,3,1,3,1
558,559,2.0,1,4,3,3,1
559,560,1.0,3,2,4,3,3
560,561,3.0,4,2,3,4,3
561,562,2.0,2,2,3,3,3
562,563,2.0,1,3,2,3,3
563,564,4.0,1,4,1,3,2
564,565,2.0,2,3,3,3,4
565,566,3.0,4,3,2,3,3
566,567,2.0,1,2,3,3,3
567,568,3.0,3,2,2,3,2
568,569,1.0,1,1,3,4,4
569,570,1.0,3,3,3,3,2
570,571,3.0,2,2,3,3,3
571,572,3.0,1,3,3,4,3
572,573,3.0,1,1,3,3,4
573,574,4.0,4,4,4,3,4
574,575,2.0,4,4,3,4,2
575,576,3.0,4,3,1,3,3
576,577,3.0,3,4,3,3,1
577,578,3.0,2,2,2,3,4
578,579,3.0,2,4,3,3,4
579,580,1.0,1,2,3,3,2
580,581,3.0,4,2,3,3,3
581,582,4.0,1,3,3,3,3
582,583,3.0,4,2,3,3,3
583,584,4.0,4,2,2,3,3
584,585,3.0,2,1,3,4,3
585,586,4.0,1,3,2,3,3
586,587,3.0,3,4,3,3,3
587,588,3.0,3,1,3,4,3
588,589,4.0,3,2,3,3,3
589,590,2.0,2,4,2,3,3
590,591,2.0,2,3,3,3,3
591,592,4.0,3,3,2,3,3
592,593,1.0,2,3,3,3,3
593,594,3.0,3,4,1,4,3
594,595,4.0,3,3,1,3,3
595,596,3.0,3,4,2,4,2
596,597,1.0,4,3,3,3,3
597,598,2.0,3,3,3,3,3
598,599,1.0,4,4,3,3,3
599,600,2.0,4,3,4,3,3
600,601,2.0,2,4,2,3,2
601,602,4.0,3,1,3,3,3
602,603,1.0,3,1,2,4,3
603,604,4.0,2,4,3,3,3
604,605,3.0,2,4,3,3,3
605,606,4.0,3,4,2,3,3
606,607,3.0,1,3,2,3,3
607,608,3.0,1,3,3,3,4
608,609,4.0,3,4,3,3,2
609,610,2.0,3,4,3,3,1
610,611,3.0,2,3,2,3,3
611,612,1.0,2,3,3,3,3
612,613,1.0,3,4,4,3,2
613,614,3.0,3,2,3,3,2
614,615,3.0,2,3,3,3,1
615,616,2.0,4,1,3,3,3
616,617,3.0,3,3,3,3,3
617,618,2.0,1,4,1,3,2
618,619,2.0,4,3,3,3,3
619,620,4.0,1,3,3,3,1
620,621,4.0,3,2,2,3,3
621,622,3.0,3,3,3,3,3
622,623,4.0,1,3,3,3,3
623,624,4.0,3,2,2,3,3
624,625,1.0,3,3,2,4,3
625,626,1.0,4,4,2,3,4
626,627,3.0,4,3,3,3,3
627,628,4.0,1,4,3,3,4
628,629,3.0,2,3,3,4,3
629,630,3.0,3,1,3,3,1
630,631,1.0,4,2,3,3,3
631,632,4.0,3,4,2,3,2
632,633,4.0,3,3,3,3,3
633,634,4.0,1,2,2,3,2
634,635,4.0,4,1,3,3,3
635,636,1.0,4,2,2,3,3
636,637,3.0,3,3,3,3,2
637,638,4.0,2,1,3,3,1
638,639,4.0,4,4,3,4,3
639,640,1.0,4,1,3,3,4
640,641,1.0,4,4,3,3,4
641,642,4.0,3,1,3,3,3
642,643,4.0,3,2,4,3,3
643,644,2.0,2,2,2,3,2
644,645,4.0,4,3,2,3,4
645,646,2.0,1,2,3,3,1
646,647,4.0,3,2,3,4,3
647,648,4.0,1,1,4,4,3
648,649,4.0,1,3,2,3,3
649,650,1.0,3,4,2,3,4
650,651,4.0,4,4,3,4,2
651,652,4.0,2,3,2,3,3
652,653,2.0,2,3,1,3,4
653,654,2.0,2,1,3,3,3
654,655,4.0,3,4,3,3,2
655,656,3.0,3,2,3,4,3
656,657,2.0,2,3,3,3,2
657,658,2.0,4,4,3,3,3
658,659,1.0,2,2,4,4,3
659,660,3.0,3,2,2,3,3
660,661,4.0,2,1,2,3,1
661,662,2.0,2,1,3,3,3
662,663,3.0,2,1,2,4,3
663,664,4.0,4,3,4,3,2
664,665,4.0,1,1,4,3,3
665,666,2.0,3,1,3,4,2
666,667,4.0,4,4,3,3,3
667,668,2.0,4,3,2,3,2
668,669,1.0,4,3,2,3,2
669,670,3.0,4,2,2,4,2
670,671,1.0,1,3,3,3,1
671,672,1.0,1,2,3,3,2
672,673,4.0,3,4,4,3,3
673,674,2.0,3,3,3,3,3
674,675,3.0,1,4,3,3,3
675,676,2.0,4,4,2,3,3
676,677,4.0,4,3,3,3,3
677,678,3.0,2,4,4,3,1
678,679,1.0,3,4,2,3,4
679,680,2.0,4,2,3,4,2
680,681,3.0,2,3,3,3,3
681,682,4.0,4,3,3,3,4
682,683,3.0,3,1,2,3,2
683,684,4.0,3,4,2,3,3
684,685,3.0,1,2,3,3,3
685,686,2.0,4,1,4,3,3
686,687,3.0,4,3,3,3,2
687,688,1.0,3,1,3,3,3
688,689,4.0,4,4,3,4,3
689,690,2.0,3,1,4,3,3
690,691,4.0,4,3,1,3,3
691,692,3.0,2,2,3,3,3
692,693,4.0,4,3,3,3,2
693,694,4.0,3,4,1,4,2
694,695,4.0,1,3,3,3,2
695,696,4.0,4,4,2,3,3
696,697,1.0,2,2,3,3,3
697,698,4.0,3,4,3,3,1
698,699,4.0,3,3,2,3,3
699,700,1.0,1,4,1,3,3
700,701,2.0,4,4,3,3,2
701,702,4.0,4,4,3,3,3
702,703,3.0,1,3,3,3,3
703,704,1.0,4,2,3,4,4
704,705,1.0,4,3,3,3,3
705,706,1.0,3,3,2,3,2
706,707,3.0,2,1,3,3,3
707,708,2.0,1,3,3,3,3
708,709,2.0,4,1,3,3,4
709,710,3.0,3,2,4,3,1
710,711,4.0,1,4,3,3,3
711,712,4.0,3,1,2,3,2
712,713,4.0,2,1,3,3,3
713,714,4.0,2,1,3,3,2
714,715,3.0,4,3,3,3,3
715,716,4.0,4,4,2,3,3
716,717,1.0,3,1,2,3,2
717,718,1.0,3,1,4,3,2
718,719,3.0,3,3,4,3,2
719,720,3.0,4,1,3,3,3
720,721,3.0,2,4,4,3,2
721,722,4.0,3,2,3,3,4
722,723,1.0,3,4,2,3,3
723,724,3.0,2,4,3,3,3
724,725,4.0,4,4,3,3,3
725,726,3.0,3,1,3,3,3
726,727,2.0,1,1,1,3,2
727,728,3.0,1,4,2,3,3
728,729,4.0,2,4,3,3,4
729,730,2.0,1,2,3,3,3
730,731,4.0,1,2,3,3,2
731,732,1.0,3,3,2,3,3
732,733,1.0,1,1,2,3,3
733,734,4.0,1,2,2,3,1
734,735,4.0,4,2,3,4,3
735,736,3.0,1,3,2,3,3
736,737,1.0,2,3,1,3,2
737,738,3.0,3,1,3,3,3
738,739,4.0,3,4,3,3,2
739,740,4.0,1,1,4,3,4
740,741,3.0,2,4,3,3,3
741,742,1.0,2,3,3,3,3
742,743,4.0,1,2,3,3,3
743,744,3.0,4,1,3,3,3
744,745,3.0,3,1,2,3,3
745,746,4.0,2,3,4,3,2
746,747,1.0,4,4,2,3,3
747,748,1.0,1,1,2,4,3
748,749,4.0,3,1,3,3,3
749,750,4.0,3,4,3,3,3
750,751,4.0,1,1,3,3,3
751,752,1.0,1,2,3,3,1
752,753,3.0,1,3,3,4,4
753,754,4.0,2,3,3,3,3
754,755,4.0,4,2,2,3,3
755,756,2.0,1,3,2,4,3
756,757,3.0,3,3,3,3,3
757,758,2.0,2,1,1,4,2
758,759,3.0,1,3,3,3,2
759,760,1.0,3,4,3,3,3
760,761,1.0,3,2,3,3,3
761,762,4.0,2,2,2,4,3
762,763,2.0,3,4,4,3,3
763,764,3.0,3,4,1,3,2
764,765,3.0,4,3,4,3,3
765,766,4.0,3,3,3,3,3
766,767,4.0,3,3,1,3,1
767,768,2.0,2,2,3,4,2
768,769,3.0,2,1,3,4,3
769,770,3.0,3,2,3,3,2
770,771,3.0,3,4,3,3,4
