,attrition,businesstravel,department,educationfield,gender,jobrole,overtime,remotework,age,distancefromhome,education,employeenumber,environmentsatisfaction,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,salary
74,No,,,,M, laboratory technician ,No,yes,33,21,3,75,1,4,1,2,2342.59,6090.75,1,18,3.0,4,3,6,,14,2,13,28111.13
75,No,travel rarely,,Life Sciences,F, manufacturing director ,Yes,yes,47,4,3,76,1,2,3,2,8339.32,21682.23,8,12,,3,1,4,3.0,22,14,10,100071.84
76,No,, Research & Development ,,F, research scientist ,,no,38,8,3,77,1,2,2,2,4492.84,11681.39,1,16,3.0,3,1,3,3.0,20,0,7,53914.08
77,No,travel rarely,,Life Sciences,F, research director ,Yes,yes,37,10,3,78,1,4,3,4,8339.32,21682.23,1,25,4.0,1,1,2,3.0,16,6,8,100071.84
78,No,,,,M, healthcare representative ,No,yes,30,2,3,79,1,2,2,4,4492.84,11681.39,1,19,,1,3,3,3.0,11,10,8,53914.11
79,No,travel rarely,,,M, sales executive ,,yes,58,18,4,80,1,3,4,3,11560.0,30056.0,0,13,3.0,3,0,1,2.0,37,1,8,138720.0
80,No,travel rarely,,,F, manager ,,no,34,5,3,81,1,2,3,1,8339.32,21682.23,2,12,3.0,4,0,6,3.0,11,5,8,100071.84
81,Yes,travel rarely,,Medical,F, healthcare representative ,,yes,58,23,4,82,1,3,3,4,8339.32,21682.23,1,12,3.0,4,1,3,2.0,40,15,6,100071.84
82,No,,,Life Sciences,M, sales executive ,,yes,38,3,3,83,1,3,3,3,8339.32,21682.23,0,12,3.0,3,2,6,2.0,16,5,13,100071.84
83,No,travel frequently,,,F, sales executive ,,yes,29,1,1,84,1,3,3,4,8339.32,21682.23,1,14,3.0,4,1,5,3.0,11,4,1,100071.84
84,No,travel rarely,,Medical,M, manager ,,yes,55,1,3,85,1,3,5,1,15870.83,41264.17,0,14,3.0,3,0,2,3.0,36,4,13,190450.0
85,No,,,,M, manager ,,yes,41,10,4,86,1,3,4,2,13345.83,34699.17,1,19,3.0,2,0,2,3.0,22,0,4,160149.96
86,No,travel rarely, Research & Development ,,M, healthcare representative ,No,no,39,1,3,87,1,4,3,4,8010.83,20828.17,0,17,,1,3,5,2.0,18,3,7,96130.0
87,No,,,Life Sciences,M, research director ,,yes,38,15,2,88,1,2,3,4,9591.67,24938.33,0,14,3.0,2,1,3,3.0,11,2,9,115100.0
88,No,,,,M, research director ,No,yes,43,12,3,89,1,2,4,2,12783.92,33238.2,1,11,3.0,3,1,3,,25,3,9,153407.07
89,No,,,,F, manufacturing director ,No,yes,31,30,2,90,1,3,2,1,3588.33,9329.67,1,12,3.0,2,1,5,1.0,13,3,12,43059.96
90,No,travel rarely, Research & Development ,Life Sciences,M, manager ,No,yes,50,27,4,91,3,2,4,3,14205.0,36933.0,0,15,3.0,2,1,2,3.0,27,15,7,170460.0
91,No,,,Technical Degree,M, manufacturing director ,No,no,35,25,3,92,1,2,3,2,8339.32,21682.23,3,16,,1,0,2,3.0,13,4,8,100071.84
92,No,,,,M, manufacturing director ,Yes,yes,47,16,4,93,1,4,2,3,4222.5,10978.5,1,19,3.0,3,0,3,,19,2,7,50670.0
93,No,, Research & Development ,,F, healthcare representative ,Yes,yes,35,25,4,94,1,3,3,3,8339.32,21682.23,1,11,,3,1,3,2.0,16,10,1,100071.84
94,No,travel rarely,,,M, healthcare representative ,,yes,40,20,4,95,1,3,3,4,8339.32,21682.23,4,20,4.0,4,1,6,3.0,11,11,1,100071.84
95,No,, Sales ,Life Sciences,F, sales executive ,,no,45,9,4,96,1,2,2,3,4492.84,11681.39,1,13,3.0,4,1,2,3.0,15,4,12,53914.11
96,No,, Research & Development ,Medical,M, research scientist ,,no,33,9,3,97,1,3,1,4,2342.59,6090.75,0,13,3.0,2,1,5,3.0,14,4,10,28111.13
97,No,travel frequently,,,M, research scientist ,No,no,36,3,3,98,1,3,1,2,3076.67,7999.33,1,12,3.0,3,0,2,2.0,11,0,7,36920.0
98,Yes,,,Marketing,F, manager ,Yes,yes,45,13,3,99,1,1,5,2,15943.72,41453.67,2,16,3.0,1,0,2,3.0,24,1,11,191324.62
99,No,travel frequently,,,M, manager ,Yes,no,51,27,3,100,3,3,5,2,16539.17,43001.83,4,24,,1,1,5,2.0,29,11,10,198470.0
100,No,travel rarely,,Technical Degree,M, sales representative ,Yes,no,34,7,2,101,1,3,1,3,1923.33,5000.67,0,25,4.0,2,1,4,3.0,11,5,7,23080.0
101,No,travel rarely, Research & Development ,,M, research director ,No,yes,43,15,2,102,1,2,4,3,12783.92,33238.2,1,24,4.0,1,1,3,3.0,14,6,11,153407.07
102,No,,,Medical,M, laboratory technician ,No,no,34,5,2,103,1,2,2,4,4492.84,11681.39,1,14,3.0,3,1,3,,15,4,13,53914.11
103,No,,,,M, human resources ,No,yes,38,2,3,104,1,3,1,2,2342.59,6090.75,5,13,3.0,4,3,3,3.0,11,3,8,28111.13
104,No,,,,M, research director ,No,no,48,10,3,105,1,2,5,2,15943.72,41453.67,4,12,3.0,4,0,3,3.0,22,12,9,191324.62
105,No,, Research & Development ,Other,M, research scientist ,Yes,no,34,22,4,106,1,2,2,4,4789.17,12451.83,1,15,3.0,2,0,3,3.0,15,6,11,57470.0
106,No,travel rarely,,,F, sales executive ,No,yes,32,31,4,107,3,3,3,4,8685.0,22581.0,1,19,3.0,3,2,3,3.0,14,5,7,104220.0
107,No,travel rarely,,Life Sciences,F, manufacturing director ,No,no,29,21,4,108,1,4,3,1,8339.32,21682.23,1,11,3.0,3,1,1,3.0,10,8,8,100071.84
108,No,,,Medical,M, healthcare representative ,Yes,no,46,1,3,109,1,2,3,1,8339.32,21682.23,2,13,3.0,3,1,5,2.0,10,9,5,100071.84
109,No,, Human Resources ,,M, human resources ,Yes,no,30,9,3,110,1,3,2,4,5289.17,13751.83,0,19,3.0,4,0,2,1.0,11,4,7,63470.0
110,No,,,Life Sciences,M, laboratory technician ,No,yes,45,9,3,111,1,3,2,2,1956.67,5087.33,8,18,3.0,3,1,2,,17,0,15,23480.0
111,No,travel rarely,,,F, sales executive ,No,yes,30,5,3,112,1,3,3,4,8339.32,21682.23,2,12,3.0,3,1,2,3.0,10,7,4,100071.84
112,No,,,,M, laboratory technician ,No,yes,30,9,3,113,1,3,2,1,2560.0,6656.0,1,11,,3,2,4,3.0,12,6,10,30720.0
113,No,travel frequently,,,M, manufacturing director ,,no,34,29,1,114,1,2,2,3,4492.84,11681.39,1,17,3.0,3,0,2,2.0,10,1,9,53914.08
114,No,travel rarely,,Life Sciences,M, research director ,No,no,51,8,4,115,1,2,3,2,10408.33,27061.67,5,16,3.0,4,2,5,1.0,10,4,7,124900.0
115,No,,,Life Sciences,M, manufacturing director ,,yes,34,39,4,116,4,2,2,1,4492.84,11681.39,6,13,3.0,2,1,3,3.0,11,5,9,53914.11
116,No,travel rarely,,,M, sales executive ,,yes,35,16,3,117,1,3,3,2,6683.33,17376.67,0,15,3.0,3,2,3,2.0,11,6,9,80200.0
117,No,travel frequently,,Life Sciences,M, laboratory technician ,,yes,45,7,3,118,1,3,3,1,8339.32,21682.23,1,18,3.0,1,1,2,3.0,24,9,11,100071.84
118,No,,,,M, manager ,,yes,39,10,1,119,1,3,4,1,14223.33,36980.67,1,14,,4,0,3,3.0,21,11,10,170680.0
119,No,,,,F, manufacturing director ,No,no,31,7,2,120,1,2,3,3,7452.5,19376.5,1,24,4.0,1,1,2,3.0,10,8,9,89430.0
120,No,, Research & Development ,,M, manager ,,yes,39,7,2,121,1,2,5,4,16060.0,41756.0,1,15,3.0,1,1,2,3.0,21,13,3,192720.0
121,No,travel rarely,,,M, research scientist ,No,yes,45,8,4,122,1,3,2,4,4492.84,11681.39,9,14,3.0,1,2,3,3.0,10,9,8,53914.11
122,No,travel rarely, Sales ,Marketing,F, sales executive ,,yes,30,5,3,123,1,2,2,3,4492.84,11681.39,1,13,3.0,3,3,2,3.0,10,1,2,53914.08
123,No,,,Medical,F, manufacturing director ,,no,31,7,4,124,1,3,3,4,8339.32,21682.23,1,14,3.0,3,0,2,2.0,11,4,10,100071.84
124,No,,,Medical,M, sales executive ,No,yes,36,3,4,125,1,2,3,4,8339.32,21682.23,4,11,3.0,1,1,2,3.0,13,1,12,100071.84
125,No,travel rarely,,,M, sales executive ,,yes,36,2,2,126,1,2,3,3,8339.32,21682.23,1,13,3.0,2,2,2,3.0,10,9,0,100071.84
126,No,travel rarely,,,F, manager ,No,yes,55,18,5,127,1,3,4,2,12783.92,33238.2,3,23,4.0,4,0,2,3.0,10,7,7,153407.07
127,No,,,,M, sales executive ,,yes,35,1,3,128,1,3,2,3,4492.84,11681.39,9,11,3.0,3,0,2,3.0,11,6,9,53914.11
128,No,travel rarely,,Medical,M, manufacturing director ,,no,42,24,3,129,1,3,3,1,8339.32,21682.23,1,21,4.0,4,1,5,2.0,10,5,8,100071.84
129,No,travel rarely,,,M, research scientist ,Yes,yes,52,6,2,130,1,3,2,1,4647.5,12083.5,3,12,,2,2,3,3.0,10,6,9,55770.0
130,No,,,Life Sciences,M, research director ,Yes,yes,49,18,4,131,1,2,5,3,15943.72,41453.67,1,17,3.0,3,1,5,3.0,31,0,9,191324.62
131,No,travel rarely, Research & Development ,,M, research scientist ,No,yes,34,1,5,132,1,3,1,4,2242.5,5830.5,1,12,3.0,4,1,4,2.0,10,8,8,26910.0
132,Yes,travel rarely,,Other,M, research scientist ,,no,33,1,4,133,1,3,1,4,2342.59,6090.75,1,13,3.0,3,0,2,2.0,10,7,8,28111.13
133,No,, Research & Development ,Medical,M, research director ,No,yes,33,7,3,134,1,3,3,3,8339.32,21682.23,0,11,3.0,4,0,3,4.0,13,3,7,100071.84
134,No,travel rarely,,,F, research director ,No,yes,53,23,4,135,1,3,4,4,12783.92,33238.2,6,18,3.0,3,0,0,3.0,12,3,8,153407.07
135,No,travel rarely,,Other,F, laboratory technician ,,no,49,8,2,136,1,3,3,2,6169.17,16039.83,4,11,3.0,3,1,3,2.0,26,1,7,74030.0
136,No,,,,M, sales executive ,,no,35,21,4,137,2,3,3,4,8339.32,21682.23,6,13,3.0,2,1,2,3.0,10,0,8,100071.84
137,No,travel rarely,,Life Sciences,F, healthcare representative ,,no,38,17,1,138,1,2,3,3,7352.5,19116.5,0,18,3.0,1,1,4,2.0,19,1,9,88230.0
138,No,, Sales ,Marketing,M, manager ,No,no,46,3,1,139,1,3,4,3,12783.92,33238.2,3,12,3.0,4,1,3,3.0,12,4,9,153407.07
139,No,non travel,,,M, manufacturing director ,,no,36,18,4,140,1,3,2,4,4492.84,11681.39,2,20,4.0,1,0,0,3.0,11,0,9,53914.11
140,Yes,travel frequently,,Life Sciences,M, sales executive ,,yes,42,15,3,141,2,3,4,1,12783.92,33238.2,0,12,,2,0,2,2.0,21,13,14,153407.07
141,No,travel frequently,,,M, healthcare representative ,No,yes,34,1,3,142,1,2,2,1,4492.84,11681.39,0,20,4.0,3,0,3,3.0,13,4,9,53914.08
142,No,travel rarely, Research & Development ,Medical,M, research scientist ,Yes,yes,30,1,3,143,1,3,1,2,2982.5,7754.5,0,21,4.0,1,1,2,3.0,11,5,7,35790.0
143,No,travel rarely,,Life Sciences,M, research director ,No,yes,54,3,3,144,1,3,4,4,14815.83,38521.17,3,14,3.0,1,0,2,3.0,10,0,9,177790.0
144,No,travel rarely,,Medical,F, healthcare representative ,No,no,31,24,3,145,1,2,2,1,4492.84,11681.39,1,19,,2,0,2,3.0,10,1,8,53914.11
145,No,,,,M, manager ,No,yes,44,5,3,146,1,3,5,2,15177.5,39461.5,7,11,3.0,3,1,5,3.0,22,3,10,182130.0
146,No,non travel,,,M, healthcare representative ,Yes,no,55,8,1,147,1,2,4,2,11314.17,29416.83,1,15,3.0,4,1,3,3.0,33,15,0,135770.0
147,No,travel rarely,,Life Sciences,M, manager ,No,no,44,4,2,148,1,4,5,1,15991.67,41578.33,1,14,3.0,4,2,4,2.0,25,14,13,191900.0
148,No,travel frequently, Human Resources ,Life Sciences,M, human resources ,No,yes,34,11,3,149,1,2,2,2,4492.84,11681.39,4,11,3.0,4,2,5,4.0,10,1,8,53914.08
149,No,,,,F, manager ,Yes,no,39,13,4,150,1,2,4,2,14269.17,37099.83,6,13,3.0,4,2,4,3.0,19,15,2,171230.0
150,No,travel rarely,,Medical,F, manager ,,yes,55,2,2,151,1,1,5,3,15989.17,41571.83,4,14,,4,1,5,3.0,19,9,11,191870.0
151,No,,,Life Sciences,M, manager ,,yes,51,5,3,152,1,3,4,2,12783.92,33238.2,1,11,3.0,2,1,2,3.0,33,0,10,153407.07
152,Yes,,,Medical,F, manufacturing director ,,yes,58,14,4,153,2,2,3,1,8340.0,21684.0,7,14,3.0,4,0,0,2.0,10,5,9,100080.0
153,No,,,Life Sciences,M, manufacturing director ,No,yes,48,4,3,154,1,3,3,4,8339.32,21682.23,1,11,3.0,3,0,2,3.0,10,0,8,100071.84
154,No,travel rarely, Human Resources ,,M, human resources ,,no,29,17,3,155,1,2,3,1,6656.67,17307.33,1,13,3.0,1,0,3,2.0,10,0,9,79880.0
155,No,,,Other,M, sales executive ,No,yes,34,3,3,156,1,1,2,1,4492.84,11681.39,3,18,,4,0,2,3.0,13,3,12,53914.11
156,No,travel frequently,,,F, laboratory technician ,,yes,42,9,2,157,1,3,1,4,2342.59,6090.75,1,13,3.0,3,0,3,3.0,12,5,8,28111.08
157,No,travel rarely,,Life Sciences,M, research scientist ,No,yes,57,1,2,158,1,4,2,3,4492.84,11681.39,0,24,4.0,1,1,2,2.0,12,2,8,53914.11
158,Yes,travel rarely,,,F, sales executive ,Yes,no,34,24,4,159,1,2,2,2,4492.84,11681.39,0,23,4.0,3,0,2,4.0,15,10,10,53914.11
159,No,travel frequently,,Medical,F, manager ,No,yes,54,11,4,160,1,3,4,4,12783.92,33238.2,3,20,,1,1,2,3.0,14,1,12,153407.04
160,No,travel rarely,,,M, sales executive ,,no,34,1,3,161,1,2,3,3,5902.5,15346.5,1,14,3.0,4,0,3,3.0,10,8,6,70830.0
161,No,,,Medical,M, laboratory technician ,,yes,29,3,1,162,1,3,1,1,3935.83,10233.17,1,18,3.0,4,0,3,,10,1,5,47229.96
162,No,travel rarely,,Life Sciences,M, laboratory technician ,,yes,35,28,3,163,1,4,2,3,2839.17,7381.83,1,17,,4,2,3,2.0,10,6,8,34070.0
163,Yes,,,Other,M, sales executive ,,yes,35,12,4,164,1,3,2,4,4492.84,11681.39,3,24,4.0,1,0,2,4.0,11,6,7,53914.11
164,No,travel rarely,,Life Sciences,F, research scientist ,No,yes,34,19,3,165,1,2,1,4,2440.83,6346.17,1,12,3.0,2,0,3,3.0,10,8,7,29290.0
165,No,,,,M, sales executive ,Yes,no,43,2,3,166,1,3,2,4,4492.84,11681.39,1,17,3.0,1,1,3,3.0,10,8,8,53914.11
166,No,non travel,,Medical,M, manager ,No,yes,58,2,3,167,1,3,4,2,12783.92,33238.2,4,22,4.0,4,1,0,2.0,16,14,14,153407.07
167,No,travel rarely, Sales ,,F, sales executive ,Yes,no,36,14,4,168,2,2,2,3,4492.84,11681.39,1,13,3.0,1,1,4,3.0,10,1,7,53914.11
168,No,travel rarely,,Life Sciences,M, healthcare representative ,,yes,43,11,3,169,1,3,3,3,8339.32,21682.23,1,17,3.0,2,1,1,3.0,10,0,9,100071.84
169,No,,,Human Resources,M, manager ,Yes,yes,55,26,4,170,1,4,5,2,15943.72,41453.67,4,18,3.0,1,1,0,3.0,10,1,4,191324.62
