,attrition,businesstravel,department,educationfield,gender,jobrole,maritalstatus,over18,overtime,standardhours,roledepartament,remotework
151,No,,,Life Sciences,M, manager ,,Yes,,Full Time,,yes
152,Yes,,,Medical,F, manufacturing director ,,Yes,,,,yes
153,No,,,Life Sciences,M, manufacturing director ,Single,Yes,No,Part Time,,yes
154,No,travel rarely, Human Resources ,,M, human resources ,Single,Yes,,Part Time, human resources  -  human resources ,no
155,No,,,Other,M, sales executive ,Single,,No,Part Time,,yes
156,No,travel frequently,,,F, laboratory technician ,,,,,,yes
157,No,travel rarely,,Life Sciences,M, research scientist ,Married,,No,Part Time,,yes
158,Yes,travel rarely,,,F, sales executive ,Single,Yes,Yes,Part Time,,no
159,No,travel frequently,,Medical,F, manager ,,Yes,No,,,yes
160,No,travel rarely,,,M, sales executive ,,Yes,,Part Time,,no
161,No,,,Medical,M, laboratory technician ,Single,,,,,yes
162,No,travel rarely,,Life Sciences,M, laboratory technician ,,,,Part Time,,yes
163,Yes,,,Other,M, sales executive ,,,,Part Time,,yes
164,No,travel rarely,,Life Sciences,F, research scientist ,Married,,No,Full Time,,yes
165,No,,,,M, sales executive ,,Yes,Yes,Part Time,,no
166,No,non travel,,Medical,M, manager ,Divorced,,No,Full Time,,yes
167,No,travel rarely, Sales ,,F, sales executive ,,,Yes,Part Time, sales executive  -  sales ,no
168,No,travel rarely,,Life Sciences,M, healthcare representative ,Married,Yes,,Part Time,,yes
169,No,,,Human Resources,M, manager ,Married,,Yes,Full Time,,yes
170,No,, Research & Development ,,M, research scientist ,Single,Yes,,, research scientist  -  research & development ,yes
171,No,,,Technical Degree,F, laboratory technician ,Married,,,,,yes
172,Yes,, Research & Development ,Technical Degree,M, laboratory technician ,Married,Yes,No,Part Time, laboratory technician  -  research & development ,yes
173,No,travel rarely,,Marketing,F, sales executive ,,Yes,,Full Time,,yes
174,No,travel rarely,,Life Sciences,F, manager ,Married,,No,Full Time,,yes
175,No,travel frequently,,,M, sales executive ,Single,Yes,No,,,no
176,No,travel frequently,,,F, laboratory technician ,,,,Part Time,,yes
177,No,,,Life Sciences,M, sales executive ,Married,Yes,,,,yes
178,No,travel rarely, Research & Development ,Medical,M, manufacturing director ,Married,,Yes,, manufacturing director  -  research & development ,yes
179,No,travel rarely,,Life Sciences,M, laboratory technician ,Married,,,Part Time,,no
180,Yes,, Sales ,Medical,M, sales executive ,,,No,Part Time, sales executive  -  sales ,no
181,No,travel rarely,,,F, sales executive ,,,Yes,Part Time,,no
182,No,,,,M, sales executive ,Single,Yes,No,,,yes
183,No,travel rarely,,Marketing,M, sales executive ,Married,Yes,,Part Time,,no
184,No,,,Marketing,F, sales executive ,Single,Yes,,Part Time,,yes
185,No,travel rarely, Research & Development ,Life Sciences,M, research scientist ,Divorced,Yes,No,Part Time, research scientist  -  research & development ,yes
186,No,travel rarely,,Medical,F, manager ,,,No,Full Time,,no
187,No,,,,M, manager ,Married,Yes,No,,,yes
188,Yes,travel rarely,,,M, sales executive ,Married,,No,Full Time,,no
189,No,non travel, Research & Development ,Life Sciences,M, manufacturing director ,,,No,Part Time, manufacturing director  -  research & development ,yes
190,No,,,,M, research director ,,,,Part Time,,yes
191,No,,,,M, sales representative ,Divorced,,No,,,no
192,No,,,Technical Degree,M, research scientist ,,Yes,No,,,no
193,No,non travel,,,F, laboratory technician ,Married,,,Full Time,,yes
194,No,travel rarely,,Life Sciences,M, sales executive ,Married,Yes,,Part Time,,yes
195,No,,,Life Sciences,F, research director ,,Yes,,Part Time,,yes
196,No,travel rarely,,,F, research scientist ,Married,,No,Part Time,,yes
197,No,,,,M, manager ,,,,Full Time,,yes
198,No,,,Life Sciences,F, manager ,,,No,Full Time,,yes
199,No,,,Other,F, sales executive ,,,,Part Time,,yes
200,No,travel rarely, Research & Development ,,M, manufacturing director ,Divorced,Yes,No,Part Time, manufacturing director  -  research & development ,yes
201,Yes,,,Life Sciences,M, research scientist ,Single,Yes,Yes,Full Time,,no
202,No,,,Medical,M, laboratory technician ,Married,Yes,Yes,,,yes
203,No,, Research & Development ,Life Sciences,M, laboratory technician ,,,No,Part Time, laboratory technician  -  research & development ,yes
204,No,,,,M, manufacturing director ,,,,,,yes
205,Yes,, Sales ,Marketing,F, sales executive ,Married,,No,Part Time, sales executive  -  sales ,no
206,No,,,,M, research director ,Divorced,,,Full Time,,yes
207,No,travel rarely,,Medical,M, sales executive ,Divorced,Yes,,Part Time,,yes
208,No,, Research & Development ,,F, manufacturing director ,Married,Yes,No,Full Time, manufacturing director  -  research & development ,no
209,No,,,Life Sciences,M, sales executive ,,,No,Part Time,,yes
210,No,,,Life Sciences,M, healthcare representative ,,Yes,,Full Time,,no
211,No,non travel, Sales ,,F, sales executive ,,,,, sales executive  -  sales ,no
212,No,travel rarely,,Medical,M, laboratory technician ,Single,Yes,No,Part Time,,yes
213,No,,,Life Sciences,M, manager ,Married,,,Full Time,,yes
214,No,non travel,,,M, manager ,Single,,,Full Time,,no
215,No,non travel,,Life Sciences,M, laboratory technician ,,,Yes,Part Time,,yes
216,No,travel rarely, Research & Development ,,F, manufacturing director ,,Yes,,Part Time, manufacturing director  -  research & development ,yes
217,No,,,,M, sales executive ,,Yes,,Full Time,,no
218,Yes,,,,F, sales executive ,,Yes,,Part Time,,yes
219,No,,,,F, laboratory technician ,Married,,,,,no
220,No,, Research & Development ,Life Sciences,F, manufacturing director ,Married,Yes,,Part Time, manufacturing director  -  research & development ,yes
221,No,travel rarely,,,M, sales executive ,,Yes,,Part Time,,yes
222,No,travel frequently,,Medical,F, laboratory technician ,Divorced,,No,Part Time,,yes
223,No,non travel,,,F, laboratory technician ,Married,,No,,,yes
224,No,non travel,,,F, sales executive ,,,Yes,Part Time,,yes
225,No,non travel,,Life Sciences,M, manager ,,,Yes,Full Time,,no
226,No,travel rarely,,Life Sciences,M, research scientist ,Single,,,Part Time,,yes
227,No,,,Medical,F, sales executive ,Single,Yes,,,,yes
228,No,travel rarely,,,F, research director ,,Yes,,Full Time,,no
229,Yes,travel frequently,,,F, manufacturing director ,,Yes,,,,yes
230,No,non travel,,,M, research director ,,,No,Full Time,,yes
231,No,,,Medical,M, research director ,Single,,No,Full Time,,yes
232,No,, Research & Development ,,M, research director ,,Yes,,Full Time, research director  -  research & development ,yes
233,No,travel rarely,,Life Sciences,F, healthcare representative ,Single,,No,,,yes
234,No,,,,M, research scientist ,Married,,,Part Time,,yes
235,No,travel frequently,,,M, healthcare representative ,,,Yes,Full Time,,yes
236,No,,,,M, healthcare representative ,Divorced,,,Part Time,,yes
237,Yes,travel rarely,,,M, sales executive ,Married,,No,Full Time,,yes
238,No,travel rarely,,Life Sciences,M, sales executive ,Married,,,Full Time,,yes
239,No,,,Medical,M, healthcare representative ,,,,Full Time,,no
240,No,travel rarely,,,M, laboratory technician ,,,,,,yes
241,No,travel rarely,,,F, research scientist ,,Yes,No,Part Time,,yes
242,No,travel rarely, Research & Development ,,F, manager ,,Yes,,Full Time, manager  -  research & development ,yes
243,No,travel rarely,,Marketing,M, sales executive ,,Yes,No,Part Time,,no
244,No,,,Life Sciences,M, laboratory technician ,Married,Yes,,Full Time,,yes
245,No,travel rarely,,,M, manager ,,,No,Full Time,,no
246,No,,,Technical Degree,M, research scientist ,,,No,Part Time,,yes
247,No,,,Life Sciences,M, healthcare representative ,,Yes,,Part Time,,no
248,No,,,Life Sciences,M, research scientist ,Married,Yes,No,Full Time,,yes
249,No,travel rarely,,,M, sales executive ,,,No,,,no
250,No,travel frequently, Research & Development ,Medical,M, laboratory technician ,Married,Yes,No,Part Time, laboratory technician  -  research & development ,no
251,No,travel rarely,,Life Sciences,M, manufacturing director ,Divorced,,,Part Time,,yes
252,No,travel rarely,,Medical,F, sales representative ,Married,Yes,No,Part Time,,no
253,No,,,Life Sciences,M, laboratory technician ,Divorced,Yes,No,,,no
254,No,travel rarely, Research & Development ,Life Sciences,F, manufacturing director ,,Yes,No,, manufacturing director  -  research & development ,yes
255,No,travel rarely,,Marketing,M, sales executive ,,Yes,No,Part Time,,no
256,No,, Research & Development ,Life Sciences,M, research scientist ,Married,Yes,,Part Time, research scientist  -  research & development ,yes
257,No,,,,F, sales executive ,,Yes,Yes,Part Time,,no
258,No,travel rarely,,Marketing,M, sales executive ,Single,Yes,No,Full Time,,no
259,No,travel rarely,,Marketing,F, sales executive ,Married,,No,,,yes
260,No,travel rarely,,Medical,M, laboratory technician ,Married,,No,,,no
261,No,, Research & Development ,,F, research director ,Married,Yes,No,Part Time, research director  -  research & development ,yes
262,No,non travel,,,M, sales representative ,Divorced,Yes,,Part Time,,yes
263,No,travel frequently,,,M, research scientist ,Married,Yes,No,Part Time,,yes
264,No,travel frequently,,Life Sciences,F, research scientist ,,,,Full Time,,yes
265,No,,,Life Sciences,M, laboratory technician ,,,,Part Time,,yes
266,No,travel frequently, Research & Development ,,M, manufacturing director ,,,No,Part Time, manufacturing director  -  research & development ,yes
267,No,travel rarely, Research & Development ,Medical,M, healthcare representative ,,Yes,,Part Time, healthcare representative  -  research & development ,yes
268,No,,,,M, sales executive ,,Yes,,,,no
269,No,, Research & Development ,Life Sciences,M, laboratory technician ,Divorced,Yes,No,Part Time, laboratory technician  -  research & development ,no
270,No,travel rarely,,,F, manufacturing director ,Single,Yes,No,Part Time,,no
271,No,,,Marketing,M, sales executive ,,Yes,,,,yes
272,Yes,travel frequently,,,M, laboratory technician ,,,Yes,Full Time,,yes
273,No,,,Technical Degree,F, sales executive ,,Yes,No,Part Time,,no
274,No,travel frequently,,,M, research scientist ,Divorced,,No,Part Time,,no
275,No,non travel,,,M, sales executive ,,,,Full Time,,yes
276,Yes,,,Life Sciences,M, sales executive ,Married,Yes,,Full Time,,no
277,No,travel rarely,,,M, sales executive ,Divorced,,Yes,Part Time,,no
278,No,travel rarely,,,F, human resources ,,Yes,,,,yes
279,No,,,,M, sales executive ,Divorced,Yes,No,Part Time,,yes
280,No,travel frequently,,,F, research scientist ,Divorced,Yes,No,Full Time,,no
281,No,travel rarely, Sales ,Marketing,M, sales representative ,,Yes,Yes,Part Time, sales representative  -  sales ,yes
282,No,non travel, Research & Development ,Technical Degree,M, manufacturing director ,Married,Yes,,Part Time, manufacturing director  -  research & development ,no
283,No,travel frequently, Research & Development ,,M, laboratory technician ,,Yes,No,Part Time, laboratory technician  -  research & development ,yes
284,No,travel rarely, Research & Development ,,F, research scientist ,,Yes,,Part Time, research scientist  -  research & development ,yes
285,No,travel rarely,,,F, healthcare representative ,Single,,,Full Time,,no
286,No,travel rarely,,Medical,F, research scientist ,Single,,No,Part Time,,no
287,No,,,Life Sciences,M, research scientist ,,Yes,Yes,Full Time,,yes
288,No,,,,M, manufacturing director ,Married,Yes,No,Full Time,,yes
289,No,non travel,,,M, manufacturing director ,Divorced,,Yes,Full Time,,no
290,No,,,Life Sciences,F, sales executive ,Single,,,Part Time,,no
291,No,, Sales ,Medical,F, sales executive ,Single,Yes,,Part Time, sales executive  -  sales ,yes
292,No,,,,F, sales executive ,Single,Yes,No,Part Time,,yes
293,Yes,travel rarely,,,F, laboratory technician ,,,No,Part Time,,yes
294,No,,,Life Sciences,M, manager ,,,Yes,Full Time,,yes
295,No,, Research & Development ,Medical,M, research director ,,,No,Full Time, research director  -  research & development ,yes
296,No,non travel, Sales ,Life Sciences,M, sales executive ,,,No,Part Time, sales executive  -  sales ,yes
297,No,,,,F, manager ,,,Yes,Full Time,,no
298,No,travel rarely,,Medical,M, healthcare representative ,Married,Yes,Yes,,,yes
299,Yes,non travel,,Life Sciences,M, manager ,Married,,,,,yes
300,No,,,Life Sciences,F, manager ,Divorced,Yes,,Part Time,,no
301,No,travel frequently,,,M, sales executive ,Single,Yes,,Part Time,,yes
302,No,travel rarely, Research & Development ,Technical Degree,M, laboratory technician ,Married,Yes,,Part Time, laboratory technician  -  research & development ,yes
303,Yes,travel rarely,,,M, sales executive ,Single,,,,,yes
304,No,travel rarely,,Technical Degree,M, sales executive ,,,,Part Time,,yes
305,No,travel frequently,,Life Sciences,F, laboratory technician ,,Yes,No,Part Time,,yes
306,No,travel rarely,,Marketing,M, sales executive ,,Yes,,Part Time,,yes
307,No,,,Medical,F, research scientist ,Single,Yes,,Part Time,,yes
308,No,,,,M, sales executive ,,,No,,,no
309,No,travel frequently, Research & Development ,Life Sciences,F, laboratory technician ,Divorced,Yes,No,Part Time, laboratory technician  -  research & development ,no
310,Yes,travel rarely,,,M, laboratory technician ,,Yes,,,,no
311,No,, Sales ,,F, sales executive ,,Yes,No,Part Time, sales executive  -  sales ,no
312,No,travel rarely,,,F, sales executive ,Divorced,Yes,Yes,Part Time,,no
313,No,,,Medical,M, research scientist ,Divorced,,,Full Time,,no
314,No,travel rarely,,,M, sales executive ,,Yes,,Part Time,,yes
315,No,travel rarely,,Life Sciences,F, laboratory technician ,Married,Yes,Yes,,,yes
316,Yes,,,,M, sales executive ,,,No,Part Time,,no
317,No,travel rarely,,,F, sales executive ,,,No,,,yes
318,No,,,,F, laboratory technician ,,,No,Full Time,,no
319,No,,,Life Sciences,F, sales executive ,Married,Yes,No,,,yes
320,No,travel rarely, Sales ,Marketing,M, sales executive ,Married,,,Part Time, sales executive  -  sales ,yes
321,No,,,Medical,F, manufacturing director ,,Yes,No,Part Time,,no
322,No,non travel,,,F, laboratory technician ,Single,Yes,,Part Time,,no
323,No,travel rarely,,Life Sciences,M, healthcare representative ,,,Yes,Part Time,,no
324,No,travel rarely,,,F, sales executive ,Married,,No,Part Time,,yes
325,No,travel rarely,,Other,M, sales executive ,,,No,Part Time,,yes
326,Yes,travel frequently,,Life Sciences,F, human resources ,,Yes,Yes,,,yes
327,No,,,Other,F, healthcare representative ,Single,Yes,Yes,Part Time,,yes
328,No,,,,M, sales executive ,Single,,,Part Time,,yes
329,No,travel rarely,,Medical,M, sales executive ,Divorced,Yes,No,Part Time,,yes
330,No,travel frequently,,,M, laboratory technician ,Divorced,Yes,,Part Time,,no
331,No,, Sales ,,F, sales executive ,Single,Yes,,Part Time, sales executive  -  sales ,no
332,No,travel rarely,,Other,M, manufacturing director ,Married,,No,Part Time,,yes
333,No,,,,M, human resources ,,Yes,,Part Time,,yes
334,No,travel rarely, Sales ,Marketing,F, sales executive ,,,No,Part Time, sales executive  -  sales ,yes
335,No,, Research & Development ,Life Sciences,M, research scientist ,Divorced,Yes,,Part Time, research scientist  -  research & development ,yes
336,No,,,Medical,F, healthcare representative ,,,,Part Time,,no
337,No,,,Technical Degree,F, healthcare representative ,Single,,No,Part Time,,no
338,No,,,Marketing,M, sales executive ,,,,Full Time,,yes
339,No,travel rarely,,Life Sciences,F, healthcare representative ,,Yes,,Part Time,,yes
340,No,travel rarely,,Life Sciences,F, manufacturing director ,Married,,,Part Time,,no
341,No,travel rarely,,Life Sciences,F, research director ,Single,,,Full Time,,no
342,No,,,Marketing,M, sales executive ,Single,,,,,no
343,No,travel frequently,,,M, manufacturing director ,,Yes,No,Part Time,,yes
344,No,,,,M, manager ,,Yes,No,Full Time,,no
345,Yes,, Research & Development ,,F, research scientist ,,,Yes,Part Time, research scientist  -  research & development ,yes
346,No,, Research & Development ,,F, research director ,Married,Yes,,Full Time, research director  -  research & development ,no
347,No,,,Marketing,M, sales executive ,Divorced,Yes,No,,,yes
348,No,travel rarely,,,M, healthcare representative ,Married,,No,Full Time,,no
349,No,travel rarely,,,M, sales representative ,Single,,No,Full Time,,yes
350,No,non travel,,,M, sales executive ,Single,Yes,,Part Time,,no
351,No,,,Medical,F, healthcare representative ,Married,,No,Part Time,,yes
352,No,,,Life Sciences,F, manufacturing director ,Single,,,Full Time,,yes
353,No,,,Medical,F, healthcare representative ,,Yes,No,,,yes
354,No,travel frequently,,,M, manager ,,,No,,,yes
355,No,travel rarely,,Other,F, manufacturing director ,,,,Part Time,,no
356,No,travel rarely,,,M, research scientist ,Married,,,Part Time,,yes
357,Yes,,,Medical,M, sales executive ,Single,Yes,,Part Time,,no
358,No,, Sales ,,F, sales executive ,,Yes,,Part Time, sales executive  -  sales ,yes
359,Yes,,,Medical,F, research scientist ,Married,,,Part Time,,yes
360,No,,,,M, research scientist ,,,Yes,,,yes
361,Yes,, Research & Development ,Life Sciences,F, laboratory technician ,Divorced,,Yes,, laboratory technician  -  research & development ,yes
362,No,travel rarely,,,M, sales representative ,,,,Part Time,,no
363,No,travel frequently, Sales ,Medical,M, sales executive ,,Yes,,Part Time, sales executive  -  sales ,yes
364,No,,,Medical,F, healthcare representative ,,,,Part Time,,no
