,employeenumber,monthlyincome,monthlyrate,percentsalaryhike,salary
101,102,12783.92,3323.82,24,153407.07
102,103,4492.84,1168.14,14,53914.11
103,104,2342.59,609.08,13,28111.13
104,105,15943.72,4145.37,12,191324.62
105,106,4789.17,1245.18,15,57470.0
106,107,8685.0,2258.1,19,104220.0
107,108,8339.32,2168.22,11,100071.84
108,109,8339.32,2168.22,13,100071.84
109,110,5289.17,1375.18,19,63470.0
110,111,1956.67,508.73,18,23480.0
111,112,8339.32,2168.22,12,100071.84
112,113,2560.0,665.6,11,30720.0
113,114,4492.84,1168.14,17,53914.08
114,115,10408.33,2706.17,16,124900.0
115,116,4492.84,1168.14,13,53914.11
116,117,6683.33,1737.67,15,80200.0
117,118,8339.32,2168.22,18,100071.84
118,119,14223.33,3698.07,14,170680.0
119,120,7452.5,1937.65,24,89430.0
120,121,16060.0,4175.6,15,192720.0
121,122,4492.84,1168.14,14,53914.11
122,123,4492.84,1168.14,13,53914.08
123,124,8339.32,2168.22,14,100071.84
124,125,8339.32,2168.22,11,100071.84
125,126,8339.32,2168.22,13,100071.84
126,127,12783.92,3323.82,23,153407.07
127,128,4492.84,1168.14,11,53914.11
128,129,8339.32,2168.22,21,100071.84
129,130,4647.5,1208.35,12,55770.0
130,131,15943.72,4145.37,17,191324.62
131,132,2242.5,583.05,12,26910.0
132,133,2342.59,609.08,13,28111.13
133,134,8339.32,2168.22,11,100071.84
134,135,12783.92,3323.82,18,153407.07
135,136,6169.17,1603.98,11,74030.0
136,137,8339.32,2168.22,13,100071.84
137,138,7352.5,1911.65,18,88230.0
138,139,12783.92,3323.82,12,153407.07
139,140,4492.84,1168.14,20,53914.11
140,141,12783.92,3323.82,12,153407.07
141,142,4492.84,1168.14,20,53914.08
142,143,2982.5,775.45,21,35790.0
143,144,14815.83,3852.12,14,177790.0
144,145,4492.84,1168.14,19,53914.11
145,146,15177.5,3946.15,11,182130.0
146,147,11314.17,2941.68,15,135770.0
147,148,15991.67,4157.83,14,191900.0
148,149,4492.84,1168.14,11,53914.08
149,150,14269.17,3709.98,13,171230.0
150,151,15989.17,4157.18,14,191870.0
151,152,12783.92,3323.82,11,153407.07
152,153,8340.0,2168.4,14,100080.0
153,154,8339.32,2168.22,11,100071.84
154,155,6656.67,1730.73,13,79880.0
155,156,4492.84,1168.14,18,53914.11
156,157,2342.59,609.08,13,28111.08
157,158,4492.84,1168.14,24,53914.11
158,159,4492.84,1168.14,23,53914.11
159,160,12783.92,3323.82,20,153407.04
160,161,5902.5,1534.65,14,70830.0
161,162,3935.83,1023.32,18,47229.96
162,163,2839.17,738.18,17,34070.0
163,164,4492.84,1168.14,24,53914.11
164,165,2440.83,634.62,12,29290.0
165,166,4492.84,1168.14,17,53914.11
166,167,12783.92,3323.82,22,153407.07
167,168,4492.84,1168.14,13,53914.11
168,169,8339.32,2168.22,17,100071.84
169,170,15943.72,4145.37,18,191324.62
170,171,4492.84,1168.14,12,53914.11
171,172,4492.84,1168.14,11,53914.08
172,173,2342.59,609.08,11,28111.13
173,174,10025.83,2606.72,11,120310.0
174,175,12855.83,3342.52,16,154270.0
175,176,8339.32,2168.22,15,100071.84
176,177,4492.84,1168.14,23,53914.11
177,178,8339.32,2168.22,22,100071.84
178,179,5135.0,1335.1,22,61620.0
179,180,4271.67,1110.63,12,51260.0
180,181,8015.83,2084.12,16,96190.0
181,182,4492.84,1168.14,12,53914.11
182,183,4175.0,1085.5,16,50100.0
183,184,8339.32,2168.22,13,100071.84
184,185,8339.32,2168.22,14,100071.84
185,186,2342.59,609.08,12,28111.13
186,187,15860.83,4123.82,14,190330.0
187,188,12783.92,3323.82,23,153407.04
188,189,8666.67,2253.33,11,104000.0
189,190,8339.32,2168.22,22,100071.84
190,191,8339.32,2168.22,14,100071.84
191,192,2327.5,605.15,17,27930.0
192,193,4492.84,1168.14,17,53914.08
193,194,4728.33,1229.37,15,56740.0
194,195,4492.84,1168.14,14,53914.11
195,196,8339.32,2168.22,17,100071.84
196,197,4492.84,1168.14,13,53914.11
197,198,15997.5,4159.35,14,191970.0
198,199,15943.72,4145.37,11,191324.62
199,200,7010.0,1822.6,11,84120.0
200,201,8339.32,2168.22,25,100071.84
201,202,2790.0,725.4,11,33480.0
202,203,2342.59,609.08,11,28111.08
203,204,4424.17,1150.28,15,53090.0
204,205,4492.84,1168.14,13,53914.08
205,206,6378.33,1658.37,18,76540.0
206,207,10673.33,2775.07,16,128080.0
207,208,4492.84,1168.14,22,53914.11
208,209,12783.92,3323.82,22,153407.07
209,210,4492.84,1168.14,14,53914.11
210,211,5488.33,1426.97,17,65860.0
211,212,4492.84,1168.14,13,53914.11
212,213,2099.17,545.78,21,25190.0
213,214,14249.17,3704.78,15,170990.0
214,215,12783.92,3323.82,11,153407.07
215,216,4492.84,1168.14,15,53914.11
216,217,8339.32,2168.22,11,100071.84
217,218,10933.33,2842.67,17,131200.0
218,219,8339.32,2168.22,13,100071.84
219,220,2609.17,678.38,13,31310.04
220,221,4492.84,1168.14,13,53914.11
221,222,8339.32,2168.22,14,100071.84
222,223,3703.33,962.87,13,44440.0
223,224,5561.67,1446.03,11,66740.04000000001
224,225,8210.0,2134.6,19,98520.0
225,226,14884.17,3869.88,13,178610.0
226,227,4492.84,1168.14,13,53914.11
227,228,4492.84,1168.14,12,53914.08
228,229,15943.72,4145.37,21,191324.62
229,230,6205.0,1613.3,11,74460.0
230,231,11464.17,2980.68,11,137570.0
231,232,13831.67,3596.23,12,165980.0
232,233,12783.92,3323.82,14,153407.07
233,234,8339.32,2168.22,19,100071.84
234,235,3570.83,928.42,17,42850.0
235,236,8436.67,2193.53,14,101240.0
236,237,8339.32,2168.22,12,100071.84
237,238,8095.0,2104.7,11,97140.0
238,239,8270.0,2150.2,11,99240.0
239,240,9370.83,2436.42,15,112450.0
240,241,2557.5,664.95,15,30690.0
241,242,4492.84,1168.14,12,53914.11
242,243,12783.92,3323.82,25,153407.07
243,244,7700.83,2002.22,12,92410.0
244,245,5393.33,1402.27,15,64720.0
245,246,15943.72,4145.37,14,191324.62
246,247,2545.83,661.92,15,30550.0
247,248,6934.17,1802.88,13,83210.0
248,249,2619.17,680.98,19,31430.0
249,250,4492.84,1168.14,21,53914.08
250,251,2342.59,609.08,13,28111.13
251,252,7148.33,1858.57,14,85780.0
252,253,4492.84,1168.14,21,53914.11
253,254,3497.5,909.35,11,41970.0
254,255,4492.84,1168.14,13,53914.08
255,256,8240.0,2142.4,21,98880.0
256,257,4492.84,1168.14,21,53914.11
257,258,4492.84,1168.14,11,53914.11
258,259,11117.5,2890.55,12,133410.0
259,260,4730.83,1230.02,14,56769.96
260,261,2342.59,609.08,13,28111.08
261,262,8339.32,2168.22,18,100071.84
262,263,2342.59,609.08,15,28111.13
263,264,4492.84,1168.14,23,53914.11
264,265,2424.17,630.28,11,29090.0
265,266,2342.59,609.08,13,28111.13
266,267,7938.33,2063.97,21,95260.0
267,268,4492.84,1168.14,13,53914.11
268,269,5687.5,1478.75,11,68250.0
269,270,4492.84,1168.14,22,53914.11
270,271,3686.67,958.53,23,44240.0
271,272,4534.17,1178.88,22,54410.04
272,273,5061.67,1316.03,24,60740.0
273,274,8339.32,2168.22,14,100071.84
274,275,2342.59,609.08,25,28111.13
275,276,5121.67,1331.63,13,61460.0
276,277,5143.33,1337.27,18,61720.0
277,278,8339.32,2168.22,13,100071.84
278,279,2342.59,609.08,23,28111.08
279,280,3890.0,1011.4,17,46680.0
280,281,4670.83,1214.42,11,56050.0
281,282,4492.84,1168.14,20,53914.11
282,283,3599.17,935.78,13,43190.0
283,284,2342.59,609.08,12,28111.13
284,285,2342.59,609.08,13,28111.13
285,286,12783.92,3323.82,18,153407.07
286,287,2342.59,609.08,16,28111.13
287,288,2970.0,772.2,12,35640.0
288,289,5217.5,1356.55,18,62610.0
289,290,5670.0,1474.2,15,68040.0
290,291,4492.84,1168.14,14,53914.11
291,292,8339.32,2168.22,12,100071.84
292,293,8339.32,2168.22,14,100071.84
293,294,2342.59,609.08,20,28111.13
294,295,15943.72,4145.37,18,191324.62
295,296,16196.67,4211.13,19,194360.0
296,297,4492.84,1168.14,18,53914.11
297,298,12783.92,3323.82,12,153407.07
298,299,12783.92,3323.82,14,153407.07
299,300,8339.32,2168.22,12,100071.84
300,301,8339.32,2168.22,18,100071.84
301,302,4492.84,1168.14,18,53914.11
302,303,4492.84,1168.14,19,53914.11
303,304,4856.67,1262.73,12,58280.04
304,305,4492.84,1168.14,11,53914.11
305,306,2045.83,531.92,19,24550.0
306,307,4492.84,1168.14,12,53914.11
307,308,4212.5,1095.25,16,50550.0
308,309,3901.67,1014.43,14,46820.04
309,310,4380.83,1139.02,11,52570.0
310,311,1765.83,459.12,11,21189.96
311,312,4492.84,1168.14,18,53914.11
312,313,4492.84,1168.14,14,53914.11
313,314,4978.33,1294.37,13,59740.0
314,315,4492.84,1168.14,17,53914.11
315,316,2342.59,609.08,13,28111.08
316,317,4492.84,1168.14,18,53914.11
317,318,4492.84,1168.14,11,53914.08
318,319,2528.33,657.37,12,30340.0
319,320,11010.0,2862.6,11,132120.0
320,321,6993.33,1818.27,16,83920.0
321,322,4492.84,1168.14,14,53914.11
322,323,2342.59,609.08,14,28111.13
323,324,8339.32,2168.22,12,100071.84
324,325,3375.83,877.72,14,40510.0
325,326,4004.17,1041.08,19,48050.0
326,327,2284.17,593.88,11,27410.04
327,328,4492.84,1168.14,17,53914.11
328,329,4447.5,1156.35,12,53370.0
329,330,4492.84,1168.14,22,53914.11
330,331,4492.84,1168.14,13,53914.11
331,332,4492.84,1168.14,20,53914.11
332,333,7861.67,2044.03,15,94340.0
333,334,8339.32,2168.22,15,100071.84
334,335,4492.84,1168.14,20,53914.11
335,336,2342.59,609.08,18,28111.13
336,337,8339.32,2168.22,14,100071.84
337,338,4492.84,1168.14,11,53914.11
338,339,4496.67,1169.13,12,53960.0
339,340,4492.84,1168.14,13,53914.11
340,341,8339.32,2168.22,11,100071.84
341,342,9299.17,2417.78,15,111590.0
342,343,4133.33,1074.67,12,49599.96
343,344,7327.5,1905.15,21,87930.0
344,345,15990.83,4157.62,12,191890.0
345,346,1846.67,480.13,13,22160.0
346,347,9760.83,2537.82,14,117130.0
347,348,4420.0,1149.2,23,53040.0
348,349,9252.5,2405.65,11,111030.0
349,350,5526.67,1436.93,13,66320.0
350,351,6322.5,1643.85,15,75870.0
351,352,3612.5,939.25,12,43350.0
352,353,4983.33,1295.67,12,59800.0
353,354,3536.67,919.53,24,42440.04
354,355,15943.72,4145.37,13,191324.64
355,356,4356.67,1132.73,15,52280.0
356,357,2250.0,585.0,24,27000.0
357,358,4492.84,1168.14,16,53914.11
358,359,4492.84,1168.14,20,53914.11
359,360,1971.67,512.63,14,23660.0
360,361,2342.59,609.08,13,28111.08
361,362,2342.59,609.08,13,28111.08
362,363,1940.83,504.62,15,23290.0
363,364,3578.33,930.37,12,42940.0
364,365,4492.84,1168.14,11,53914.11
365,366,5604.17,1457.08,12,67250.0
366,367,8604.17,2237.08,11,103250.0
367,368,3705.83,963.52,12,44470.0
368,369,8339.32,2168.22,18,100071.84
369,370,4492.84,1168.14,13,53914.11
370,371,9037.5,2349.75,13,108450.0
371,372,8339.32,2168.22,11,100071.84
372,373,8339.32,2168.22,12,100071.84
373,374,4560.0,1185.6,12,54720.0
374,375,5320.83,1383.42,14,63850.0
375,376,5289.17,1375.18,12,63470.0
376,377,2342.59,609.08,12,28111.13
377,378,6270.83,1630.42,12,75250.0
378,379,4492.84,1168.14,14,53914.11
379,380,12783.92,3323.82,15,153407.04
380,381,8339.32,2168.22,12,100071.84
381,382,3050.0,793.0,13,36600.0
382,383,8339.32,2168.22,22,100071.84
383,384,4492.84,1168.14,22,53914.11
384,385,2342.59,609.08,15,28111.13
385,386,7283.33,1893.67,14,87400.0
386,387,8339.32,2168.22,17,100071.84
387,388,8339.32,2168.22,11,100071.84
388,389,12783.92,3323.82,11,153407.07
389,390,15943.72,4145.37,14,191324.62
390,391,4492.84,1168.14,15,53914.08
391,392,11249.17,2924.78,17,134990.0
392,393,2342.59,609.08,22,28111.13
393,394,8339.32,2168.22,18,100071.84
394,395,15943.72,4145.37,18,191324.62
395,396,4492.84,1168.14,15,53914.11
396,397,4492.84,1168.14,12,53914.11
397,398,2342.59,609.08,14,28111.13
398,399,2909.17,756.38,13,34910.0
399,400,4350.0,1131.0,18,52200.0
400,401,4492.84,1168.14,14,53914.11
401,402,8543.33,2221.27,21,102520.0
402,403,2342.59,609.08,14,28111.08
403,404,16450.0,4277.0,14,197400.0
404,405,12783.92,3323.82,14,153407.07
405,406,8339.32,2168.22,12,100071.84
406,407,8339.32,2168.22,14,100071.84
407,408,8339.32,2168.22,11,100071.84
408,409,2342.59,609.08,13,28111.08
409,410,5174.17,1345.28,15,62090.0
410,411,5911.67,1537.03,12,70940.0
411,412,8339.32,2168.22,19,100071.84
412,413,3778.33,982.37,11,45340.0
413,414,7083.33,1841.67,11,85000.0
414,415,4492.84,1168.14,15,53914.11
415,416,3865.83,1005.12,16,46390.0
416,417,4469.17,1161.98,12,53630.0
417,418,12783.92,3323.82,17,153407.07
418,419,4492.84,1168.14,13,53914.11
419,420,3400.83,884.22,14,40810.0
420,421,12783.92,3323.82,14,153407.07
421,422,2981.67,775.23,12,35780.0
422,423,8339.32,2168.22,12,100071.84
423,424,14440.0,3754.4,19,173280.0
424,425,12783.92,3323.82,13,153407.07
425,426,4492.84,1168.14,11,53914.11
426,427,8994.17,2338.48,18,107930.0
427,428,8339.32,2168.22,11,100071.84
428,429,9042.5,2351.05,18,108510.0
429,430,8721.67,2267.63,14,104660.0
430,431,4492.84,1168.14,14,53914.11
431,432,1968.33,511.77,13,23620.0
432,433,4492.84,1168.14,13,53914.11
433,434,12783.92,3323.82,21,153407.07
434,435,5365.83,1395.12,14,64390.0
435,436,8339.32,2168.22,16,100071.84
436,437,15943.72,4145.37,14,191324.62
437,438,4807.5,1249.95,14,57690.0
438,439,3654.17,950.08,15,43850.04
439,440,4492.84,1168.14,13,53914.11
440,441,4492.84,1168.14,13,53914.08
441,442,3388.33,880.97,11,40660.0
442,443,4492.84,1168.14,19,53914.08
443,444,4492.84,1168.14,11,53914.08
444,445,4338.33,1127.97,17,52060.0
445,446,12783.92,3323.82,14,153407.07
446,447,2212.5,575.25,11,26550.0
447,448,2141.67,556.83,20,25700.0
448,449,8339.32,2168.22,19,100071.84
449,450,3751.67,975.43,15,45020.0
450,451,4492.84,1168.14,14,53914.11
451,452,4492.84,1168.14,16,53914.11
452,453,4140.0,1076.4,16,49680.0
453,454,8339.32,2168.22,11,100071.84
454,455,4289.17,1115.18,15,51470.0
455,456,2265.0,588.9,14,27180.0
456,457,2949.17,766.78,13,35390.04
457,458,4556.67,1184.73,14,54680.0
458,459,4844.17,1259.48,18,58130.04
459,460,4492.84,1168.14,14,53914.11
460,461,8055.83,2094.52,14,96670.0
461,462,4492.84,1168.14,22,53914.08
462,463,4295.0,1116.7,22,51540.0
463,464,4729.17,1229.58,20,56750.0
464,465,6095.0,1584.7,21,73140.0
465,466,12783.92,3323.82,11,153407.04
466,467,4492.84,1168.14,14,53914.11
467,468,8339.32,2168.22,13,100071.84
468,469,2342.59,609.08,18,28111.13
469,470,4492.84,1168.14,12,53914.11
470,471,4492.84,1168.14,18,53914.11
471,472,8339.32,2168.22,18,100071.84
472,473,2342.59,609.08,13,28111.13
473,474,4492.84,1168.14,14,53914.11
474,475,4492.84,1168.14,11,53914.11
475,476,4492.84,1168.14,20,53914.08
476,477,8339.32,2168.22,20,100071.84
477,478,4248.33,1104.57,19,50980.0
478,479,4492.84,1168.14,13,53914.11
479,480,4492.84,1168.14,13,53914.08
480,481,8339.32,2168.22,19,100071.84
481,482,11308.33,2940.17,23,135700.0
482,483,5593.33,1454.27,21,67120.0
483,484,4492.84,1168.14,11,53914.08
484,485,8325.83,2164.72,15,99910.0
485,486,8339.32,2168.22,11,100071.84
486,487,8540.0,2220.4,14,102480.0
487,488,4492.84,1168.14,21,53914.11
488,489,12783.92,3323.82,13,153407.07
489,490,9115.0,2369.9,25,109380.0
490,491,2160.83,561.82,11,25930.0
491,492,9898.33,2573.57,11,118779.96
492,493,6745.83,1753.92,13,80950.0
493,494,8339.32,2168.22,12,100071.84
494,495,12783.92,3323.82,15,153407.07
495,496,15943.72,4145.37,15,191324.62
496,497,4492.84,1168.14,19,53914.11
497,498,14046.67,3652.13,11,168560.0
498,499,12783.92,3323.82,14,153407.07
499,500,3780.83,983.02,22,45370.0
500,501,14936.67,3883.53,11,179240.0
501,502,3345.0,869.7,25,40140.0
502,503,10618.33,2760.77,16,127420.0
503,504,8339.32,2168.22,13,100071.84
504,505,2813.33,731.47,13,33760.0
505,506,8735.0,2271.1,14,104820.0
506,507,12783.92,3323.82,17,153407.04
507,508,8339.32,2168.22,19,100071.84
508,509,2342.59,609.08,13,28111.13
509,510,2342.59,609.08,12,28111.13
510,511,3540.83,920.62,11,42490.0
511,512,5457.5,1418.95,14,65490.0
512,513,12783.92,3323.82,13,153407.04
513,514,12009.17,3122.38,13,144110.04
514,515,16321.67,4243.63,21,195860.0
515,516,6864.17,1784.68,11,82370.0
516,517,2675.83,695.72,14,32109.96
517,518,13920.0,3619.2,11,167040.0
518,519,8339.32,2168.22,12,100071.84
519,520,3978.33,1034.37,19,47740.0
520,521,15943.72,4145.37,11,191324.64
521,522,4492.84,1168.14,14,53914.11
522,523,4492.84,1168.14,12,53914.11
523,524,3806.67,989.73,20,45680.0
524,525,4994.17,1298.48,18,59930.0
525,526,5415.83,1408.12,13,64990.0
526,527,2876.67,747.93,13,34520.0
527,528,2342.59,609.08,19,28111.13
528,529,5330.83,1386.02,20,63970.0
529,530,4492.84,1168.14,16,53914.11
530,531,4492.84,1168.14,11,53914.11
531,532,4492.84,1168.14,13,53914.11
532,533,8339.32,2168.22,17,100071.84
533,534,8339.32,2168.22,13,100071.84
534,535,4492.84,1168.14,12,53914.11
535,536,2270.83,590.42,11,27250.0
536,537,15943.72,4145.37,11,191324.64
537,538,3018.33,784.77,13,36220.0
538,539,4492.84,1168.14,20,53914.11
539,540,5150.0,1339.0,23,61800.0
540,541,5228.33,1359.37,22,62740.0
541,542,3650.83,949.22,11,43810.0
542,543,8339.32,2168.22,21,100071.84
543,544,2132.5,554.45,11,25590.0
544,545,4573.33,1189.07,13,54880.0
545,546,2095.0,544.7,22,25140.0
546,547,2342.59,609.08,14,28111.13
547,548,4492.84,1168.14,20,53914.11
548,549,2663.33,692.47,12,31960.0
549,550,2342.59,609.08,13,28111.13
550,551,4492.84,1168.14,12,53914.11
551,552,2342.59,609.08,20,28111.13
552,553,2850.0,741.0,12,34200.0
553,554,2342.59,609.08,14,28111.13
554,555,3405.83,885.52,14,40869.96
555,556,4492.84,1168.14,13,53914.11
556,557,4473.33,1163.07,25,53680.0
557,558,10780.0,2802.8,11,129360.0
558,559,4492.84,1168.14,11,53914.11
559,560,2342.59,609.08,13,28111.13
560,561,2342.59,609.08,23,28111.13
561,562,4492.84,1168.14,17,53914.11
562,563,2342.59,609.08,18,28111.13
563,564,8339.32,2168.22,11,100071.84
564,565,3517.5,914.55,15,42210.0
565,566,4492.84,1168.14,11,53914.08
566,567,4135.83,1075.32,18,49630.0
567,568,2342.59,609.08,19,28111.13
568,569,3500.0,910.0,22,42000.0
569,570,2342.59,609.08,14,28111.13
570,571,15943.72,4145.37,15,191324.64
571,572,2342.59,609.08,20,28111.13
572,573,4171.67,1084.63,11,50060.04
573,574,2342.59,609.08,14,28111.13
574,575,6365.83,1655.12,22,76390.0
575,576,4492.84,1168.14,12,53914.11
576,577,2342.59,609.08,13,28111.08
577,578,2342.59,609.08,11,28111.13
578,579,5418.33,1408.77,14,65019.96
579,580,15943.72,4145.37,14,191324.64
580,581,11270.83,2930.42,14,135250.0
581,582,4492.84,1168.14,11,53914.08
582,583,5290.83,1375.62,13,63489.96
583,584,4492.84,1168.14,15,53914.11
584,585,2342.59,609.08,20,28111.13
585,586,5316.67,1382.33,12,63800.0
586,587,12783.92,3323.82,13,153407.07
587,588,2585.0,672.1,22,31020.0
588,589,4492.84,1168.14,12,53914.11
589,590,4492.84,1168.14,11,53914.11
590,591,4492.84,1168.14,11,53914.11
591,592,8339.32,2168.22,14,100071.84
592,593,3796.67,987.13,11,45560.0
593,594,4492.84,1168.14,20,53914.08
594,595,3525.0,916.5,15,42300.0
595,596,8339.32,2168.22,21,100071.84
596,597,4049.17,1052.78,16,48590.0
597,598,2342.59,609.08,11,28111.13
598,599,5268.33,1369.77,12,63220.0
599,600,4492.84,1168.14,12,53914.11
600,601,2342.59,609.08,12,28111.13
601,602,8967.5,2331.55,12,107610.0
602,603,2342.59,609.08,21,28111.08
603,604,2342.59,609.08,19,28111.13
604,605,2477.5,644.15,15,29730.0
605,606,4336.67,1127.53,11,52040.0
606,607,4492.84,1168.14,17,53914.11
607,608,8339.32,2168.22,11,100071.84
608,609,14499.17,3769.78,22,173990.0
609,610,8339.32,2168.22,14,100071.84
610,611,8339.32,2168.22,11,100071.84
611,612,2342.59,609.08,19,28111.13
612,613,14070.83,3658.42,22,168850.0
613,614,4492.84,1168.14,15,53914.11
614,615,3602.5,936.65,17,43230.0
615,616,4295.83,1116.92,13,51550.0
616,617,2446.67,636.13,11,29360.0
617,618,2342.59,609.08,18,28111.13
618,619,2342.59,609.08,13,28111.08
619,620,8339.32,2168.22,17,100071.84
620,621,15657.5,4070.95,14,187890.0
621,622,4492.84,1168.14,18,53914.11
622,623,4069.17,1057.98,18,48830.0
623,624,8339.32,2168.22,12,100071.84
624,625,1690.83,439.62,20,20290.0
625,626,4492.84,1168.14,12,53914.11
626,627,2496.67,649.13,15,29960.0
627,628,4492.84,1168.14,13,53914.11
628,629,8339.32,2168.22,21,100071.84
629,630,2342.59,609.08,13,28111.13
630,631,7731.67,2010.23,16,92780.0
631,632,4492.84,1168.14,16,53914.11
632,633,3468.33,901.77,12,41619.96
633,634,2342.59,609.08,17,28111.13
634,635,4492.84,1168.14,18,53914.11
635,636,2342.59,609.08,11,28111.13
636,637,4492.84,1168.14,17,53914.11
637,638,2342.59,609.08,14,28111.13
638,639,2342.59,609.08,20,28111.13
639,640,4492.84,1168.14,12,53914.11
640,641,7377.5,1918.15,19,88530.0
641,642,4492.84,1168.14,15,53914.11
642,643,4063.33,1056.47,12,48760.0
643,644,1784.17,463.88,12,21410.0
644,645,6463.33,1680.47,19,77559.95999999999
645,646,3280.0,852.8,11,39360.0
646,647,4492.84,1168.14,21,53914.11
647,648,5701.67,1482.43,20,68420.0
648,649,3324.17,864.28,11,39890.0
649,650,4108.33,1068.17,14,49300.0
650,651,4492.84,1168.14,20,53914.11
651,652,3085.0,802.1,11,37020.0
652,653,2254.17,586.08,16,27050.0
653,654,3706.67,963.73,12,44480.0
654,655,1982.5,515.45,14,23790.0
655,656,4492.84,1168.14,21,53914.08
656,657,4572.5,1188.85,14,54870.0
657,658,15943.72,4145.37,15,191324.64
658,659,2341.67,608.83,22,28100.0
659,660,7448.33,1936.57,11,89380.0
660,661,2342.59,609.08,14,28111.13
661,662,8280.0,2152.8,19,99360.0
662,663,2342.59,609.08,23,28111.13
663,664,2342.59,609.08,12,28111.13
664,665,4492.84,1168.14,19,53914.11
665,666,4545.0,1181.7,21,54540.0
666,667,4492.84,1168.14,11,53914.11
667,668,15616.67,4060.33,12,187400.04
668,669,4560.83,1185.82,11,54730.0
669,670,11252.5,2925.65,22,135030.0
