,attrition,businesstravel,department,educationfield,gender,jobrole,maritalstatus,over18,overtime,standardhours,roledepartament,remotework
73,No,travel_frequently,,Life Sciences,0, reSeARch sCientIst ,,Y,No,Part Time,,True
74,No,,,,0, lAbOrAtory tecHnIciaN ,,,No,Part Time,,True
75,No,travel_rarely,,Life Sciences,1, maNufACTURING DIREctOr ,Divorced,,Yes,Part Time,,Yes
76,No,, Research & Development ,,1, rESeArCH sCientIST ,Divorced,,,, rESeArCH sCientIST  -  Research & Development ,0
77,No,travel_rarely,,Life Sciences,1, ResEarCh dIReCtOr ,,,Yes,Part Time,,Yes
78,No,,,,0, hEALtHcare REpREsenTAtiVe ,Married,,No,Part Time,,Yes
79,No,travel_rarely,,,0, saLes ExECutiVE ,Single,,,Full Time,,1
80,No,travel_rarely,,,1, mAnagER ,Single,,,,,0
81,Yes,travel_rarely,,Medical,1, hEaLtHCARE ReprESENTATivE ,Married,,,Part Time,,Yes
82,No,,,Life Sciences,0, Sales exECuTIVE ,Divorced,Y,,,,1
83,No,travel_frequently,,,1, SalEs eXecUTIVe ,Married,Y,,Part Time,,True
84,No,travel_rarely,,Medical,0, manAger ,Single,Y,,Full Time,,1
85,No,,,,0, MAnager ,,,,,,Yes
86,No,travel_rarely, Research & Development ,,0, healTHCAre rePREseNtATiVE ,,,No,Part Time, healTHCAre rePREseNtATiVE  -  Research & Development ,0
87,No,,,Life Sciences,0, rESEaRCh DirEcToR ,,,,Full Time,,1
88,No,,,,0, researCH DIrECtoR ,,,No,Full Time,,True
89,No,,,,1, MaNufactuRINg dIrecTor ,Married,,No,,,Yes
90,No,travel_rarely, Research & Development ,Life Sciences,0, mANaGer ,Marreid,Y,No,Full Time, mANaGer  -  Research & Development ,True
91,No,,,Technical Degree,0, MaNUFACTuRing dirECTOr ,Married,Y,No,Part Time,,0
92,No,,,,0, manufaCtURiNG DirecToR ,,,Yes,,,Yes
93,No,, Research & Development ,,1, HEAltHCaRe REPreseNTatIve ,Divorced,,Yes,Part Time, HEAltHCaRe REPreseNTatIve  -  Research & Development ,1
94,No,travel_rarely,,,0, hEaLtHCaRe reprEsenTaTive ,Married,Y,,Part Time,,1
95,No,, Sales ,Life Sciences,1, SaLeS eXECUTivE ,Married,Y,,Part Time, SaLeS eXECUTivE  -  Sales ,0
96,No,, Research & Development ,Medical,0, reSeARCH SCIEnTiST ,Married,Y,,, reSeARCH SCIEnTiST  -  Research & Development ,False
97,No,travel_frequently,,,0, ResEArCH sCIEntisT ,Married,Y,No,Full Time,,False
98,Yes,,,Marketing,1, maNAger ,,,Yes,Full Time,,True
99,No,travel_frequently,,,0, ManAgeR ,,,Yes,Full Time,,0
100,No,travel_rarely,,Technical Degree,0, SaLes rEPREsENtAtivE ,,,Yes,Part Time,,0
101,No,travel_rarely, Research & Development ,,0, ReSearch DiRecTOR ,,,No,Full Time, ReSearch DiRecTOR  -  Research & Development ,1
102,No,,,Medical,0, LABoRATOry teChnicIan ,,Y,No,Part Time,,0
103,No,,,,0, huMan RESOURcEs ,Divorced,,No,Part Time,,1
104,No,,,,0, ResearcH DiReCtOR ,,Y,No,Full Time,,0
105,No,, Research & Development ,Other,0, resEaRCh SciEnTist ,Married,,Yes,Full Time, resEaRCh SciEnTist  -  Research & Development ,False
106,No,travel_rarely,,,1, SAleS eXEcUtIve ,,Y,No,Full Time,,Yes
107,No,travel_rarely,,Life Sciences,1, maNufaCturing direcTOr ,Divorced,Y,No,,,0
108,No,,,Medical,0, HEalThCare REPreseNTAtive ,Married,,Yes,,,False
109,No,, Human Resources ,,0, hUmaN REsoUrCes ,Married,,Yes,Full Time, hUmaN REsoUrCes  -  Human Resources ,0
110,No,,,Life Sciences,0, LaboRaTORY TechnICiAn ,,Y,No,Part Time,,Yes
111,No,travel_rarely,,,1, SalES ExeCuTIVe ,,Y,No,Part Time,,True
112,No,,,,0, lABOrAtorY tEcHNICian ,,Y,No,Part Time,,Yes
113,No,travel_frequently,,,0, manUFACTuRiNg dIrECToR ,Married,,,,,False
114,No,travel_rarely,,Life Sciences,0, RESEArCh dIRECTOR ,Married,,No,Full Time,,0
115,No,,,Life Sciences,0, MAnufACturiNg dIReCtOR ,,,,Part Time,,1
116,No,travel_rarely,,,0, Sales ExEcUTIvE ,Married,Y,,Part Time,,1
117,No,travel_frequently,,Life Sciences,0, LaboRaTOrY techNiciaN ,,Y,,Part Time,,Yes
118,No,,,,0, ManageR ,Married,,,Full Time,,Yes
119,No,,,,1, MANufacTUrinG diREcTor ,Married,,No,Part Time,,False
120,No,, Research & Development ,,0, manAgER ,Married,Y,,Full Time, manAgER  -  Research & Development ,True
121,No,travel_rarely,,,0, RESearCH scienTIST ,,Y,No,Part Time,,True
122,No,travel_rarely, Sales ,Marketing,1, SaLES eXeCUtIVE ,,,,, SaLES eXeCUtIVE  -  Sales ,Yes
123,No,,,Medical,1, maNUfActuRinG diRectOR ,,Y,,Part Time,,False
124,No,,,Medical,0, SAles exEcUtivE ,Married,Y,No,Part Time,,True
125,No,travel_rarely,,,0, saLes eXECUTIVE ,Married,,,Part Time,,True
126,No,travel_rarely,,,1, MAnAgER ,Single,Y,No,Full Time,,1
127,No,,,,0, SAles exEcutiVE ,,Y,,Part Time,,1
128,No,travel_rarely,,Medical,0, MANufactURINg DirEctOR ,Married,,,Part Time,,False
129,No,travel_rarely,,,0, RESEarCh sCiENTIst ,Divorced,Y,Yes,Full Time,,Yes
130,No,,,Life Sciences,0, reseArcH DIRectOr ,,,Yes,Full Time,,1
131,No,travel_rarely, Research & Development ,,0, reSEarCH scIentISt ,Married,,No,Part Time, reSEarCH scIentISt  -  Research & Development ,Yes
132,Yes,travel_rarely,,Other,0, rESearCh SCiEnTIST ,Single,Y,,Part Time,,0
133,No,, Research & Development ,Medical,0, ReSeARCh DiRECtor ,Married,,No,, ReSeARCh DiRECtor  -  Research & Development ,True
134,No,travel_rarely,,,1, RESEARcH DirecToR ,,Y,No,Full Time,,1
135,No,travel_rarely,,Other,1, LAboRatORY TeCHNicIAn ,Married,,,Part Time,,0
136,No,,,,0, SaLeS exEcuTIVE ,,Y,,Part Time,,0
137,No,travel_rarely,,Life Sciences,1, heAlThCARE rEpreSentaTIVE ,Married,,,Part Time,,0
138,No,, Sales ,Marketing,0, MaNAgeR ,Married,Y,No,Full Time, MaNAgeR  -  Sales ,0
139,No,non-travel,,,0, MaNuFacTUriNG dIRectOr ,Single,Y,,Part Time,,False
140,Yes,travel_frequently,,Life Sciences,0, salEs EXecuTIve ,Single,,,Full Time,,Yes
141,No,travel_frequently,,,0, HEAlTHcaRe rEpreseNTatIvE ,Single,,No,,,1
142,No,travel_rarely, Research & Development ,Medical,0, RESEArCH sCIenTIst ,,,Yes,, RESEArCH sCIenTIst  -  Research & Development ,1
143,No,travel_rarely,,Life Sciences,0, rESeArCH dIrECtor ,Married,,No,Full Time,,1
144,No,travel_rarely,,Medical,1, HeALThCARE rEPreSENTAtivE ,Single,,No,Part Time,,False
145,No,,,,0, MANAGEr ,Married,,No,Full Time,,True
146,No,non-travel,,,0, HeaLtHCARe rEPREsEnTATIVE ,Divorced,Y,Yes,Full Time,,False
147,No,travel_rarely,,Life Sciences,0, manAger ,Divorced,Y,No,Full Time,,False
148,No,travel_frequently, Human Resources ,Life Sciences,0, hUMAn reSoUrCES ,,Y,No,, hUMAn reSoUrCES  -  Human Resources ,1
149,No,,,,1, mANaGeR ,Divorced,,Yes,Full Time,,0
150,No,travel_rarely,,Medical,1, MANagER ,,Y,,Full Time,,True
151,No,,,Life Sciences,0, manAGeR ,,Y,,Full Time,,True
152,Yes,,,Medical,1, mAnUFACTURIng dIreCtOr ,Marreid,Y,,,,True
153,No,,,Life Sciences,0, maNUfaCTUriNG dIreCtor ,Single,Y,No,Part Time,,1
154,No,travel_rarely, Human Resources ,,0, HUmAN rESOuRceS ,Single,Y,,Part Time, HUmAN rESOuRceS  -  Human Resources ,False
155,No,,,Other,0, sAles ExecUTiVE ,Single,,No,Part Time,,1
156,No,travel_frequently,,,1, lABoRAtoRY TECHNicIAN ,,,,,,Yes
157,No,travel_rarely,,Life Sciences,0, REsearCh ScienTIst ,Married,,No,Part Time,,True
158,Yes,travel_rarely,,,1, sAles EXecutiVE ,Single,Y,Yes,Part Time,,0
159,No,travel_frequently,,Medical,1, manaGeR ,,Y,No,,,1
160,No,travel_rarely,,,0, saLEs exEcUTiVE ,,Y,,Part Time,,0
161,No,,,Medical,0, lAboratorY tecHNIciAN ,Single,,,,,True
162,No,travel_rarely,,Life Sciences,0, LAboraTORy TEcHNiCIAN ,,,,Part Time,,True
163,Yes,,,Other,0, Sales ExecUtIVe ,,,,Part Time,,True
164,No,travel_rarely,,Life Sciences,1, rEseaRcH SCienTist ,Married,,No,Full Time,,1
165,No,,,,0, Sales eXEcUtIVE ,,Y,Yes,Part Time,,False
166,No,non-travel,,Medical,0, maNaGer ,Divorced,,No,Full Time,,Yes
167,No,travel_rarely, Sales ,,1, SaleS EXeCuTivE ,Marreid,,Yes,Part Time, SaleS EXeCuTivE  -  Sales ,False
168,No,travel_rarely,,Life Sciences,0, hEALThcarE RepReSeNTAtIve ,Married,Y,,Part Time,,1
169,No,,,Human Resources,0, MAnAgEr ,Married,,Yes,Full Time,,Yes
170,No,, Research & Development ,,0, ReSeARch scIENTISt ,Single,Y,,, ReSeARch scIENTISt  -  Research & Development ,True
171,No,,,Technical Degree,1, LABORaTorY TECHniciaN ,Married,,,,,True
172,Yes,, Research & Development ,Technical Degree,0, LaBoRaTorY TeChNicIAn ,Married,Y,No,Part Time, LaBoRaTorY TeChNicIAn  -  Research & Development ,Yes
173,No,travel_rarely,,Marketing,1, sAleS execuTiVE ,,Y,,Full Time,,Yes
174,No,travel_rarely,,Life Sciences,1, mANAgER ,Married,,No,Full Time,,1
175,No,travel_frequently,,,0, sALes exECuTiVE ,Single,Y,No,,,0
176,No,travel_frequently,,,1, LABOrATorY TechNIcIaN ,,,,Part Time,,Yes
177,No,,,Life Sciences,0, sAlES eXeCuTIVe ,Married,Y,,,,True
178,No,travel_rarely, Research & Development ,Medical,0, ManUfaCTUriNg dIReCtor ,Married,,Yes,, ManUfaCTUriNg dIReCtor  -  Research & Development ,1
179,No,travel_rarely,,Life Sciences,0, LaboraTOry TEcHniCiAN ,Married,,,Part Time,,0
180,Yes,, Sales ,Medical,0, saLES ExECuTIVe ,,,No,Part Time, saLES ExECuTIVe  -  Sales ,False
181,No,travel_rarely,,,1, sALeS execUTiVE ,,,Yes,Part Time,,False
182,No,,,,0, saLEs executive ,Single,Y,No,,,1
183,No,travel_rarely,,Marketing,0, SAles ExeCUTiVE ,Married,Y,,Part Time,,False
184,No,,,Marketing,1, sAleS exeCUTiVe ,Single,Y,,Part Time,,1
185,No,travel_rarely, Research & Development ,Life Sciences,0, RESEaRch SCIEntISt ,Divorced,Y,No,Part Time, RESEaRch SCIEntISt  -  Research & Development ,1
186,No,travel_rarely,,Medical,1, manaGEr ,,,No,Full Time,,0
187,No,,,,0, MAnagEr ,Married,Y,No,,,1
188,Yes,travel_rarely,,,0, SALeS eXecUTiVe ,Married,,No,Full Time,,0
189,No,non-travel, Research & Development ,Life Sciences,0, mAnUFaCtUrinG diReCtor ,,,No,Part Time, mAnUFaCtUrinG diReCtor  -  Research & Development ,1
190,No,,,,0, REsEARcH dIreCTor ,,,,Part Time,,True
191,No,,,,0, SAlEs repReSEnTaTiVE ,Divorced,,No,,,0
192,No,,,Technical Degree,0, reSEARch scIeNTIST ,,Y,No,,,False
193,No,non-travel,,,1, lAbORATorY teChnICiaN ,Married,,,Full Time,,True
194,No,travel_rarely,,Life Sciences,0, SalEs eXEcuTIVE ,Married,Y,,Part Time,,True
195,No,,,Life Sciences,1, rEseaRch DIRECTOr ,,Y,,Part Time,,1
196,No,travel_rarely,,,1, resEarcH sCiEnTISt ,Married,,No,Part Time,,Yes
197,No,,,,0, ManAger ,,,,Full Time,,True
198,No,,,Life Sciences,1, MaNagEr ,,,No,Full Time,,True
199,No,,,Other,1, SaLes ExecUtiVE ,,,,Part Time,,True
200,No,travel_rarely, Research & Development ,,0, maNUFAcTURING direCTOr ,Divorced,Y,No,Part Time, maNUFAcTURING direCTOr  -  Research & Development ,Yes
201,Yes,,,Life Sciences,0, RESeArCh sCIentIst ,Single,Y,Yes,Full Time,,False
202,No,,,Medical,0, LAboRaTorY teChniCiaN ,Married,Y,Yes,,,Yes
203,No,, Research & Development ,Life Sciences,0, labOraTORy techNicIan ,,,No,Part Time, labOraTORy techNicIan  -  Research & Development ,Yes
204,No,,,,0, manuFACtuRiNg DIrEcTor ,,,,,,True
205,Yes,, Sales ,Marketing,1, SAlEs ExeCUtive ,Married,,No,Part Time, SAlEs ExeCUtive  -  Sales ,0
206,No,,,,0, REsEARCH dIReCTor ,Divorced,,,Full Time,,Yes
207,No,travel_rarely,,Medical,0, sALES ExEcUTIvE ,Divorced,Y,,Part Time,,Yes
208,No,, Research & Development ,,1, MANUFACturING DIRecToR ,Married,Y,No,Full Time, MANUFACturING DIRecToR  -  Research & Development ,False
209,No,,,Life Sciences,0, saleS exECUtIve ,,,No,Part Time,,1
210,No,,,Life Sciences,0, heAltHcArE rEprEseNtatIVE ,,Y,,Full Time,,0
211,No,non-travel, Sales ,,1, Sales eXECuTIvE ,,,,, Sales eXECuTIvE  -  Sales ,False
212,No,travel_rarely,,Medical,0, laBORATORy tECHNICIan ,Single,Y,No,Part Time,,True
213,No,,,Life Sciences,0, MAnager ,Married,,,Full Time,,1
214,No,non-travel,,,0, MaNagER ,Single,,,Full Time,,0
215,No,non-travel,,Life Sciences,0, LaBoraTORy TeChNiCIAN ,,,Yes,Part Time,,1
216,No,travel_rarely, Research & Development ,,1, mANUfaCTuRiNG DiRECtOr ,,Y,,Part Time, mANUfaCTuRiNG DiRECtOr  -  Research & Development ,1
217,No,,,,0, sales ExecuTiVe ,,Y,,Full Time,,False
218,Yes,,,,1, SALeS eXECUtivE ,,Y,,Part Time,,True
219,No,,,,1, LABoRaTOrY teChNICiAn ,Married,,,,,False
220,No,, Research & Development ,Life Sciences,1, ManUFACtURiNg DiRECTOr ,Married,Y,,Part Time, ManUFACtURiNg DiRECTOr  -  Research & Development ,1
221,No,travel_rarely,,,0, salES eXECUtive ,,Y,,Part Time,,Yes
222,No,travel_frequently,,Medical,1, laboRatoRy teCHNiCiaN ,Divorced,,No,Part Time,,True
223,No,non-travel,,,1, lAbORAtORy tECHNiCian ,Married,,No,,,1
224,No,non-travel,,,1, saLEs eXEcUTIvE ,,,Yes,Part Time,,True
225,No,non-travel,,Life Sciences,0, manageR ,,,Yes,Full Time,,False
226,No,travel_rarely,,Life Sciences,0, RESearCh SCieNTIst ,Single,,,Part Time,,True
227,No,,,Medical,1, SALEs eXeCuTive ,Single,Y,,,,1
228,No,travel_rarely,,,1, REsearCh dIRECTOr ,,Y,,Full Time,,False
229,Yes,travel_frequently,,,1, MaNuFACTUriNG DIRector ,,Y,,,,1
230,No,non-travel,,,0, ResEARcH DIrEcToR ,,,No,Full Time,,1
231,No,,,Medical,0, resEArcH DIrEcTOR ,Single,,No,Full Time,,True
232,No,, Research & Development ,,0, ResEARcH DiReCToR ,,Y,,Full Time, ResEARcH DiReCToR  -  Research & Development ,1
233,No,travel_rarely,,Life Sciences,1, HeALthCARE rePRESeNtATiVE ,Single,,No,,,True
234,No,,,,0, RESEarCH ScIENTIsT ,Married,,,Part Time,,Yes
235,No,travel_frequently,,,0, HeaLthcARE RePreSeNtatiVe ,,,Yes,Full Time,,True
236,No,,,,0, HeAlTHCare RePrEsenTatIve ,Divorced,,,Part Time,,1
237,Yes,travel_rarely,,,0, SAleS eXecuTiVe ,Married,,No,Full Time,,Yes
238,No,travel_rarely,,Life Sciences,0, saLes ExeCutivE ,Married,,,Full Time,,1
239,No,,,Medical,0, hEaLthCare repResEntaTIVe ,,,,Full Time,,0
240,No,travel_rarely,,,0, laboratORY TEcHnicIAN ,,,,,,True
241,No,travel_rarely,,,1, RESeArCh SCIEntiSt ,,Y,No,Part Time,,True
242,No,travel_rarely, Research & Development ,,1, MANAgER ,,Y,,Full Time, MANAgER  -  Research & Development ,Yes
243,No,travel_rarely,,Marketing,0, SALes EXecUtIve ,,Y,No,Part Time,,False
244,No,,,Life Sciences,0, LabOraTory TechNiCIAN ,Married,Y,,Full Time,,1
245,No,travel_rarely,,,0, mAnaGeR ,,,No,Full Time,,0
246,No,,,Technical Degree,0, ReSeARcH sciEnTiST ,,,No,Part Time,,Yes
247,No,,,Life Sciences,0, heAltHCARE rePrESENTaTIve ,,Y,,Part Time,,False
248,No,,,Life Sciences,0, RESEARCH sCiEntIST ,Married,Y,No,Full Time,,True
249,No,travel_rarely,,,0, SAles EXecutiVE ,,,No,,,False
250,No,travel_frequently, Research & Development ,Medical,0, labORATORY TechnIcIaN ,Married,Y,No,Part Time, labORATORY TechnIcIaN  -  Research & Development ,0
251,No,travel_rarely,,Life Sciences,0, maNuFACTUrInG dIREcTor ,Divorced,,,Part Time,,Yes
252,No,travel_rarely,,Medical,1, SaLeS REPRESentATive ,Married,Y,No,Part Time,,False
253,No,,,Life Sciences,0, LABORAtoRY TeChnICian ,Divorced,Y,No,,,False
254,No,travel_rarely, Research & Development ,Life Sciences,1, MaNUfacTurINg DiReCTor ,,Y,No,, MaNUfacTurINg DiReCTor  -  Research & Development ,1
255,No,travel_rarely,,Marketing,0, SALES EXEcUTIvE ,,Y,No,Part Time,,False
256,No,, Research & Development ,Life Sciences,0, ReSEaRcH sciENTIST ,Married,Y,,Part Time, ReSEaRcH sciENTIST  -  Research & Development ,1
257,No,,,,1, sAles EXeCutive ,,Y,Yes,Part Time,,0
258,No,travel_rarely,,Marketing,0, saLES ExECUTIve ,Single,Y,No,Full Time,,0
259,No,travel_rarely,,Marketing,1, sAlES execUtIVE ,Married,,No,,,1
260,No,travel_rarely,,Medical,0, LABOrAtORy TechnICiAN ,Married,,No,,,0
261,No,, Research & Development ,,1, rESEARCh dIrEcTOr ,Married,Y,No,Part Time, rESEARCh dIrEcTOr  -  Research & Development ,1
262,No,non-travel,,,0, SAlEs rEpreSeNTAtiVe ,Divorced,Y,,Part Time,,1
263,No,travel_frequently,,,0, rEsEARCH ScIentisT ,Married,Y,No,Part Time,,True
264,No,travel_frequently,,Life Sciences,1, ResEArCh ScIentiSt ,Marreid,,,Full Time,,Yes
265,No,,,Life Sciences,0, laBoratoRY tECHNICiAN ,,,,Part Time,,1
266,No,travel_frequently, Research & Development ,,0, MANUfACTuRinG diRecTOR ,,,No,Part Time, MANUfACTuRinG diRecTOR  -  Research & Development ,1
267,No,travel_rarely, Research & Development ,Medical,0, HeaLThCArE REpRESENTAtIVe ,,Y,,Part Time, HeaLThCArE REpRESENTAtIVe  -  Research & Development ,Yes
268,No,,,,0, Sales ExECutiVe ,,Y,,,,False
269,No,, Research & Development ,Life Sciences,0, LABOraTory TecHnIciaN ,Divorced,Y,No,Part Time, LABOraTory TecHnIciaN  -  Research & Development ,False
270,No,travel_rarely,,,1, MaNUFAcTUriNg DiRECTor ,Single,Y,No,Part Time,,0
271,No,,,Marketing,0, sALEs eXEcuTIVe ,,Y,,,,True
272,Yes,travel_frequently,,,0, labOrATory teCHnIcIAn ,,,Yes,Full Time,,True
273,No,,,Technical Degree,1, sALES exeCUtIve ,,Y,No,Part Time,,False
274,No,travel_frequently,,,0, ReseArcH SciEntIst ,Divorced,,No,Part Time,,False
275,No,non-travel,,,0, salEs exeCutiVE ,Marreid,,,Full Time,,True
276,Yes,,,Life Sciences,0, SAles EXecUTivE ,Married,Y,,Full Time,,False
277,No,travel_rarely,,,0, SALEs ExecUTIvE ,Divorced,,Yes,Part Time,,False
278,No,travel_rarely,,,1, HUmaN RESOURces ,,Y,,,,True
279,No,,,,0, SaLEs ExEcUtiVe ,Divorced,Y,No,Part Time,,True
280,No,travel_frequently,,,1, rESEARch SCIEnTISt ,Divorced,Y,No,Full Time,,False
281,No,travel_rarely, Sales ,Marketing,0, sales rEprESEntAtIvE ,,Y,Yes,Part Time, sales rEprESEntAtIvE  -  Sales ,True
282,No,non-travel, Research & Development ,Technical Degree,0, mANuFacTurinG DirECtoR ,Married,Y,,Part Time, mANuFacTurinG DirECtoR  -  Research & Development ,0
283,No,travel_frequently, Research & Development ,,0, lABorATOrY TeChnICIan ,,Y,No,Part Time, lABorATOrY TeChnICIan  -  Research & Development ,True
284,No,travel_rarely, Research & Development ,,1, RESEarCh SCIEnTiST ,,Y,,Part Time, RESEarCh SCIEnTiST  -  Research & Development ,True
285,No,travel_rarely,,,1, hEalthCARE RepresenTaTivE ,Single,,,Full Time,,False
286,No,travel_rarely,,Medical,1, rEsEarCH SCIeNtIsT ,Single,,No,Part Time,,0
287,No,,,Life Sciences,0, rEsEARCH SciENtisT ,,Y,Yes,Full Time,,True
288,No,,,,0, MAnuFaCtURING DirECTOr ,Married,Y,No,Full Time,,Yes
