,age,dailyrate,distancefromhome,education,employeecount,employeenumber,environmentsatisfaction,hourlyrate,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,numberchildren,is_equal
25,35,103.25,9,3,1,26,4.0,12.91,2,3,3,8339.32,2168.22,1,20,4.0,2,1,17.0,2,3.0,17,,5,15,,1988,100071.84,,
26,52,204.75,2,1,1,27,1.0,25.59,1,5,4,16537.5,4299.75,1,15,3.0,4,1,33.0,3,3.0,32,,6,9,,1971,198450.0,,
27,36,55.63,2,4,1,28,3.0,6.95,3,2,2,4492.84,1168.14,9,11,3.0,4,0,18.0,2,3.0,16,,5,12,4492.84,1987,53914.11,,True
28,33,55.63,28,4,1,29,2.0,6.95,3,2,3,4492.84,1168.14,1,12,3.0,2,1,15.0,3,3.0,15,,5,7,4492.84,1990,53914.11,,True
29,34,41.28,10,3,1,30,4.0,5.16,3,2,3,3334.17,866.88,1,14,3.0,3,1,15.0,3,3.0,15,,0,7,3334.17,1989,40010.0,,True
30,41,107.79,37,1,1,31,4.0,13.47,3,3,3,8705.83,2263.52,0,13,3.0,4,1,,3,4.0,22,,13,5,8705.83,1982,104470.0,,True
31,47,103.25,25,3,1,32,1.0,12.91,3,3,3,8339.32,2168.22,2,23,4.0,2,0,25.0,3,3.0,17,,12,11,8339.32,1976,100071.84,,
32,53,197.4,5,3,1,33,3.0,24.67,3,5,3,15943.72,4145.37,4,11,3.0,4,1,26.0,3,2.0,14,,4,8,15943.72,1970,191324.62,,True
33,35,55.63,1,4,1,34,3.0,6.95,2,2,1,4492.84,1168.14,0,14,,2,0,16.0,2,3.0,15,,2,8,4492.84,1988,53914.11,,True
34,34,55.63,6,4,1,35,1.0,6.95,3,2,3,4492.84,1168.14,1,14,3.0,3,0,16.0,3,3.0,16,,2,10,4492.84,1989,53914.08,,
35,46,103.25,1,2,1,36,2.0,12.91,3,3,1,8339.32,2168.22,1,25,4.0,3,3,24.0,2,3.0,24,,15,7,8339.32,1977,100071.84,,True
36,43,165.74,16,3,1,37,4.0,20.72,3,4,4,13386.67,3480.53,5,22,4.0,3,1,22.0,3,3.0,17,,1,9,,1980,160640.0,,
37,36,33.12,6,3,1,38,4.0,4.14,3,1,4,2675.0,695.5,0,11,3.0,3,1,16.0,4,3.0,15,,10,11,2675.0,1987,32100.0,,True
38,60,105.92,28,3,1,39,3.0,13.24,2,3,1,8555.0,2224.3,4,19,3.0,4,0,22.0,5,4.0,18,13.0,13,11,8555.0,1963,102660.0,,True
39,40,108.08,5,4,1,40,4.0,13.51,2,3,1,8729.17,2269.58,5,21,4.0,3,1,20.0,2,3.0,18,,1,12,8729.17,1983,104750.0,,True
40,32,63.58,4,3,1,41,3.0,7.95,2,2,3,5135.0,1335.1,1,12,3.0,3,1,14.0,3,3.0,14,,6,8,,1991,61620.0,,
41,41,48.71,35,3,1,42,4.0,6.09,3,1,1,3934.17,1022.88,2,13,,3,0,20.0,3,3.0,18,,2,17,3934.17,1982,47210.0,,True
42,53,158.28,2,2,1,43,3.0,19.78,3,4,3,12783.92,3323.82,6,13,3.0,3,1,22.0,3,4.0,17,,15,2,12783.92,1970,153407.07,,True
43,36,29.0,16,4,1,44,3.0,3.63,4,1,1,2342.59,609.08,1,16,3.0,3,0,18.0,1,3.0,17,,15,14,,1987,28111.13,,
44,46,47.62,8,4,1,45,4.0,5.95,2,2,1,3845.83,999.92,8,23,4.0,1,3,,2,3.0,16,,1,7,3845.83,1977,46150.0,,True
45,38,55.63,1,4,1,46,4.0,6.95,3,2,2,4492.84,1168.14,0,15,3.0,1,2,16.0,3,,15,,5,8,4492.84,1985,53914.11,,True
46,51,103.25,1,4,1,47,1.0,12.91,2,3,1,8339.32,2168.22,3,20,4.0,3,0,23.0,1,2.0,13,,12,8,8339.32,1972,100071.84,,True
47,43,174.97,26,2,1,48,3.0,21.87,3,4,4,14132.5,3674.45,1,12,3.0,4,2,25.0,3,4.0,25,,4,12,14132.5,1980,169590.0,,True
48,37,29.0,1,3,1,49,4.0,3.63,3,1,4,2342.59,609.08,1,12,3.0,2,0,,3,3.0,17,,5,7,,1986,28111.13,,
49,32,55.63,8,2,1,50,3.0,6.95,2,2,2,4492.84,1168.14,1,11,3.0,4,0,,2,3.0,13,12.0,11,9,,1991,53914.11,,
50,38,103.25,1,3,1,51,4.0,12.91,3,3,1,8339.32,2168.22,1,13,3.0,2,1,15.0,3,3.0,15,,5,11,8339.32,1985,100071.84,,True
51,46,158.28,3,3,1,52,3.0,19.78,3,4,2,12783.92,3323.82,8,12,3.0,4,1,23.0,2,4.0,13,,5,1,12783.92,1977,153407.07,,True
52,35,106.33,10,3,1,53,4.0,13.29,2,3,1,8588.33,2232.97,9,17,3.0,3,0,15.0,3,,13,,6,0,8588.33,1988,103059.95999999999,,
53,43,197.4,6,3,1,54,1.0,24.67,2,5,3,15943.72,4145.37,7,13,3.0,4,0,21.0,2,3.0,16,,6,14,15943.72,1980,191324.63999999998,,
54,56,55.63,1,4,1,55,3.0,6.95,3,2,3,4492.84,1168.14,1,21,,1,1,,2,2.0,13,,1,9,4492.84,1967,53914.08,,
55,36,55.78,15,4,1,56,4.0,6.97,1,2,4,4505.0,1171.3,1,24,4.0,1,1,,4,2.0,15,,11,11,4505.0,1987,54060.0,,True
56,38,55.63,6,3,1,57,2.0,6.95,1,2,4,4492.84,1168.14,7,12,3.0,4,3,17.0,3,3.0,13,,1,9,,1985,53914.11,,
57,49,55.63,26,4,1,58,3.0,6.95,3,2,1,4492.84,1168.14,1,14,3.0,3,0,16.0,2,2.0,15,,5,11,,1974,53914.11,,
58,39,60.89,4,4,1,59,4.0,7.61,2,2,3,4918.33,1278.77,4,14,3.0,3,1,17.0,1,4.0,15,,5,9,4918.33,1984,59020.0,,True
59,40,112.0,4,4,1,60,3.0,14.0,2,3,4,9045.83,2351.92,7,11,,1,1,15.0,2,2.0,12,,2,11,,1983,108550.0,,
60,36,61.02,5,2,1,61,4.0,7.63,3,2,2,4928.33,1281.37,8,16,3.0,4,0,16.0,3,4.0,13,,3,7,4928.33,1987,59140.0,,True
61,37,55.63,25,5,1,62,2.0,6.95,3,2,3,4492.84,1168.14,3,15,3.0,1,2,15.0,2,3.0,13,,10,7,,1986,53914.11,,
62,35,68.57,6,4,1,63,2.0,8.57,1,2,4,5538.33,1439.97,1,13,3.0,2,0,,3,3.0,17,,11,8,5538.33,1988,66460.0,,True
63,33,55.63,6,3,1,64,3.0,6.95,3,2,4,4492.84,1168.14,3,23,4.0,3,1,15.0,2,1.0,13,,4,7,4492.84,1990,53914.11,,True
64,50,144.17,24,3,1,65,4.0,18.02,3,4,3,11644.17,3027.48,3,18,3.0,4,1,22.0,2,3.0,12,,1,5,,1973,139730.0,,
65,48,103.25,4,4,1,66,3.0,12.91,2,3,3,8339.32,2168.22,7,14,,2,0,27.0,3,3.0,15,11.0,4,8,,1975,100071.84,,
66,44,137.43,28,3,1,67,4.0,17.18,4,4,4,11100.0,2886.0,3,18,3.0,3,1,,2,3.0,12,,11,11,11100.0,1979,133200.0,,
67,44,55.63,29,4,1,68,4.0,6.95,3,2,4,4492.84,1168.14,1,25,4.0,2,0,,3,3.0,20,,13,17,,1979,53914.11,,
68,40,55.63,25,1,1,69,4.0,6.95,4,2,3,4492.84,1168.14,5,20,4.0,2,3,15.0,0,3.0,12,,11,8,,1983,53914.11,,
69,34,68.99,2,4,1,70,3.0,8.62,3,2,4,5572.5,1448.85,1,11,3.0,4,0,14.0,2,4.0,14,,4,11,5572.5,1989,66870.0,,True
70,35,55.63,8,4,1,71,3.0,6.95,3,2,3,4492.84,1168.14,1,12,3.0,4,1,,5,3.0,14,,2,9,4492.84,1988,53914.11,,True
71,50,103.25,17,5,1,72,4.0,12.91,2,3,1,8339.32,2168.22,5,15,3.0,3,3,,3,3.0,14,11.0,1,11,,1973,100071.84,,
72,49,158.28,6,1,1,73,3.0,19.78,2,4,3,12783.92,3323.82,2,19,3.0,2,1,,3,3.0,15,,2,12,12783.92,1974,153407.07,,True
73,38,48.85,1,3,1,74,4.0,6.11,3,2,4,3945.83,1025.92,7,15,3.0,4,2,19.0,4,,13,,2,9,,1985,47350.0,,
74,33,29.0,21,3,1,75,2.0,3.63,4,1,2,2342.59,609.08,1,18,3.0,4,3,14.0,6,,14,,2,13,,1990,28111.13,,
75,47,103.25,4,3,1,76,3.0,12.91,2,3,2,8339.32,2168.22,8,12,,3,1,,4,3.0,22,,14,10,8339.32,1976,100071.84,,True
76,38,55.63,8,3,1,77,4.0,6.95,2,2,2,4492.84,1168.14,1,16,3.0,3,1,20.0,3,3.0,20,,0,7,4492.84,1985,53914.08,,
77,37,103.25,10,3,1,78,3.0,12.91,4,3,4,8339.32,2168.22,1,25,4.0,1,1,16.0,2,3.0,16,,6,8,8339.32,1986,100071.84,,True
78,30,55.63,2,3,1,79,3.0,6.95,2,2,4,4492.84,1168.14,1,19,,1,3,11.0,3,3.0,11,,10,8,,1993,53914.11,,
79,58,143.12,18,4,1,80,4.0,17.89,3,4,3,11560.0,3005.6,0,13,3.0,3,0,38.0,1,2.0,37,,1,8,11560.0,1965,138720.0,,True
80,34,103.25,5,3,1,81,3.0,12.91,2,3,1,8339.32,2168.22,2,12,3.0,4,0,14.0,6,3.0,11,,5,8,8339.32,1989,100071.84,,
81,58,103.25,23,4,1,82,4.0,12.91,3,3,4,8339.32,2168.22,1,12,3.0,4,1,40.0,3,2.0,40,,15,6,8339.32,1965,100071.84,,True
82,38,103.25,3,3,1,83,1.0,12.91,3,3,3,8339.32,2168.22,0,12,3.0,3,2,,6,2.0,16,,5,13,8339.32,1985,100071.84,,
83,29,103.25,1,1,1,84,2.0,12.91,3,3,4,8339.32,2168.22,1,14,3.0,4,1,11.0,5,3.0,11,,4,1,8339.32,1994,100071.84,,True
84,55,196.5,1,3,1,85,4.0,24.56,3,5,1,15870.83,4126.42,0,14,3.0,3,0,37.0,2,3.0,36,,4,13,15870.83,1968,190450.0,,True
85,41,165.23,10,4,1,86,4.0,20.65,3,4,2,13345.83,3469.92,1,19,3.0,2,0,,2,3.0,22,,0,4,13345.83,1982,160149.96,,
86,39,99.18,1,3,1,87,3.0,12.4,4,3,4,8010.83,2082.82,0,17,,1,3,19.0,5,2.0,18,,3,7,8010.83,1984,96130.0,,True
87,38,118.75,15,2,1,88,3.0,14.84,2,3,4,9591.67,2493.83,0,14,3.0,2,1,,3,3.0,11,,2,9,,1985,115100.0,,
88,43,158.28,12,3,1,89,1.0,19.78,2,4,2,12783.92,3323.82,1,11,3.0,3,1,,3,,25,,3,9,12783.92,1980,153407.07,,True
89,31,44.43,30,2,1,90,2.0,5.55,3,2,1,3588.33,932.97,1,12,3.0,2,1,13.0,5,1.0,13,,3,12,3588.33,1992,43059.96,,
90,50,175.87,27,4,1,91,4.0,21.98,2,4,3,14205.0,3693.3,0,15,3.0,2,1,28.0,2,3.0,27,,15,7,14205.0,1973,170460.0,,True
91,35,103.25,25,3,1,92,4.0,12.91,2,3,2,8339.32,2168.22,3,16,,1,0,,2,3.0,13,,4,8,8339.32,1988,100071.84,,True
92,47,52.28,16,4,1,93,3.0,6.53,4,2,3,4222.5,1097.85,1,19,3.0,3,0,20.0,3,,19,,2,7,4222.5,1976,50670.0,,
93,35,103.25,25,4,1,94,3.0,12.91,3,3,3,8339.32,2168.22,1,11,,3,1,,3,2.0,16,,10,1,8339.32,1988,100071.84,,True
94,40,103.25,20,4,1,95,1.0,12.91,3,3,4,8339.32,2168.22,4,20,4.0,4,1,14.0,6,3.0,11,,11,1,,1983,100071.84,,
95,45,55.63,9,4,1,96,2.0,6.95,2,2,3,4492.84,1168.14,1,13,3.0,4,1,15.0,2,3.0,15,,4,12,4492.84,1978,53914.11,,True
96,33,29.0,9,3,1,97,1.0,3.63,3,1,4,2342.59,609.08,0,13,3.0,2,1,15.0,5,3.0,14,,4,10,,1990,28111.13,,
97,36,38.09,3,3,1,98,3.0,4.76,3,1,2,3076.67,799.93,1,12,3.0,3,0,12.0,2,2.0,11,,0,7,3076.67,1987,36920.0,,True
98,45,197.4,13,3,1,99,1.0,24.67,1,5,2,15943.72,4145.37,2,16,3.0,1,0,26.0,2,3.0,24,,1,11,15943.72,1978,191324.62,,True
99,51,204.77,27,3,1,100,4.0,25.6,3,5,2,16539.17,4300.18,4,24,,1,1,,5,2.0,29,,11,10,,1972,198470.0,,
100,34,23.81,7,2,1,101,2.0,2.98,3,1,3,1923.33,500.07,0,25,4.0,2,1,12.0,4,3.0,11,,5,7,,1989,23080.0,,
101,43,158.28,15,2,1,102,3.0,19.78,2,4,3,12783.92,3323.82,1,24,4.0,1,1,,3,3.0,14,,6,11,,1980,153407.07,,
102,34,55.63,5,2,1,103,2.0,6.95,2,2,4,4492.84,1168.14,1,14,3.0,3,1,,3,,15,,4,13,4492.84,1989,53914.11,,True
103,38,29.0,2,3,1,104,1.0,3.63,3,1,2,2342.59,609.08,5,13,3.0,4,3,13.0,3,3.0,11,,3,8,2342.59,1985,28111.13,,True
104,48,197.4,10,3,1,105,4.0,24.67,2,5,2,15943.72,4145.37,4,12,3.0,4,0,29.0,3,3.0,22,,12,9,,1975,191324.62,,
105,34,59.29,22,4,1,106,3.0,7.41,2,2,4,4789.17,1245.18,1,15,3.0,2,0,16.0,3,3.0,15,,6,11,4789.17,1989,57470.0,,True
106,32,107.53,31,4,1,107,4.0,13.44,3,3,4,8685.0,2258.1,1,19,3.0,3,2,14.0,3,3.0,14,,5,7,8685.0,1991,104220.0,,True
107,29,103.25,21,4,1,108,2.0,12.91,4,3,1,8339.32,2168.22,1,11,3.0,3,1,10.0,1,3.0,10,,8,8,8339.32,1994,100071.84,,
108,46,103.25,1,3,1,109,3.0,12.91,2,3,1,8339.32,2168.22,2,13,3.0,3,1,21.0,5,2.0,10,,9,5,,1977,100071.84,,
109,30,65.48,9,3,1,110,3.0,8.19,3,2,4,5289.17,1375.18,0,19,3.0,4,0,,2,1.0,11,,4,7,5289.17,1993,63470.0,,True
110,45,24.23,9,3,1,111,2.0,3.03,3,2,2,1956.67,508.73,8,18,3.0,3,1,20.0,2,,17,,0,15,1956.67,1978,23480.0,,True
111,30,103.25,5,3,1,112,2.0,12.91,3,3,4,8339.32,2168.22,2,12,3.0,3,1,,2,3.0,10,,7,4,8339.32,1993,100071.84,,True
112,30,31.7,9,3,1,113,3.0,3.96,3,2,1,2560.0,665.6,1,11,,3,2,12.0,4,3.0,12,,6,10,,1993,30720.0,,
113,34,55.63,29,1,1,114,4.0,6.95,2,2,3,4492.84,1168.14,1,17,3.0,3,0,10.0,2,2.0,10,,1,9,4492.84,1989,53914.08,,
114,51,128.87,8,4,1,115,2.0,16.11,2,3,2,10408.33,2706.17,5,16,3.0,4,2,16.0,5,1.0,10,,4,7,10408.33,1972,124900.0,,True
115,34,55.63,39,4,1,116,4.0,6.95,2,2,1,4492.84,1168.14,6,13,3.0,2,1,13.0,3,3.0,11,,5,9,4492.84,1989,53914.11,,True
116,35,82.75,16,3,1,117,3.0,10.34,3,3,2,6683.33,1737.67,0,15,3.0,3,2,12.0,3,2.0,11,,6,9,6683.33,1988,80200.0,,True
117,45,103.25,7,3,1,118,1.0,12.91,3,3,1,8339.32,2168.22,1,18,3.0,1,1,24.0,2,3.0,24,,9,11,8339.32,1978,100071.84,,True
118,39,176.1,10,1,1,119,3.0,22.01,3,4,1,14223.33,3698.07,1,14,,4,0,21.0,3,3.0,21,,11,10,,1984,170680.0,,
119,31,92.27,7,2,1,120,3.0,11.53,2,3,3,7452.5,1937.65,1,24,4.0,1,1,10.0,2,3.0,10,,8,9,7452.5,1992,89430.0,,True
120,39,198.84,7,2,1,121,3.0,24.85,2,5,4,16060.0,4175.6,1,15,3.0,1,1,,2,3.0,21,,13,3,16060.0,1984,192720.0,,True
121,45,55.63,8,4,1,122,4.0,6.95,3,2,4,4492.84,1168.14,9,14,3.0,1,2,12.0,3,3.0,10,,9,8,4492.84,1978,53914.11,,True
122,30,55.63,5,3,1,123,4.0,6.95,2,2,3,4492.84,1168.14,1,13,3.0,3,3,10.0,2,3.0,10,,1,2,4492.84,1993,53914.08,,
123,31,103.25,7,4,1,124,3.0,12.91,3,3,4,8339.32,2168.22,1,14,3.0,3,0,11.0,2,2.0,11,,4,10,8339.32,1992,100071.84,,True
124,36,103.25,3,4,1,125,1.0,12.91,2,3,4,8339.32,2168.22,4,11,3.0,1,1,16.0,2,3.0,13,,1,12,8339.32,1987,100071.84,,True
125,36,103.25,2,2,1,126,2.0,12.91,2,3,3,8339.32,2168.22,1,13,3.0,2,2,10.0,2,3.0,10,,9,0,,1987,100071.84,,
126,55,158.28,18,5,1,127,1.0,19.78,3,4,2,12783.92,3323.82,3,23,4.0,4,0,37.0,2,3.0,10,,7,7,12783.92,1968,153407.07,,True
127,35,55.63,1,3,1,128,2.0,6.95,3,2,3,4492.84,1168.14,9,11,3.0,3,0,15.0,2,3.0,11,,6,9,4492.84,1988,53914.11,,True
128,42,103.25,24,3,1,129,4.0,12.91,3,3,1,8339.32,2168.22,1,21,4.0,4,1,10.0,5,2.0,10,,5,8,8339.32,1981,100071.84,,True
129,52,57.54,6,2,1,130,4.0,7.19,3,2,1,4647.5,1208.35,3,12,,2,2,18.0,3,3.0,10,,6,9,4647.5,1971,55770.0,,True
130,49,197.4,18,4,1,131,4.0,24.67,2,5,3,15943.72,4145.37,1,17,3.0,3,1,,5,3.0,31,,0,9,,1974,191324.62,,
131,34,27.76,1,5,1,132,2.0,3.47,3,1,4,2242.5,583.05,1,12,3.0,4,1,,4,2.0,10,,8,8,2242.5,1989,26910.0,,True
132,33,29.0,1,4,1,133,4.0,3.63,3,1,4,2342.59,609.08,1,13,3.0,3,0,10.0,2,2.0,10,,7,8,2342.59,1990,28111.13,,True
133,33,103.25,7,3,1,134,3.0,12.91,3,3,3,8339.32,2168.22,0,11,3.0,4,0,,3,4.0,13,,3,7,8339.32,1990,100071.84,,
134,53,158.28,23,4,1,135,4.0,19.78,3,4,4,12783.92,3323.82,6,18,3.0,3,0,33.0,0,3.0,12,,3,8,12783.92,1970,153407.07,,True
135,49,76.38,8,2,1,136,1.0,9.55,3,3,2,6169.17,1603.98,4,11,3.0,3,1,29.0,3,2.0,26,,1,7,6169.17,1974,74030.0,,True
136,35,103.25,21,4,1,137,4.0,12.91,3,3,4,8339.32,2168.22,6,13,3.0,2,1,,2,3.0,10,,0,8,,1988,100071.84,,
137,38,91.03,17,1,1,138,3.0,11.38,2,3,3,7352.5,1911.65,0,18,3.0,1,1,20.0,4,2.0,19,,1,9,7352.5,1985,88230.0,,True
138,46,158.28,3,1,1,139,1.0,19.78,3,4,3,12783.92,3323.82,3,12,3.0,4,1,,3,3.0,12,,4,9,12783.92,1977,153407.07,,True
139,36,55.63,18,4,1,140,1.0,6.95,3,2,4,4492.84,1168.14,2,20,4.0,1,0,18.0,0,3.0,11,,0,9,4492.84,1987,53914.11,,True
140,42,158.28,15,3,1,141,4.0,19.78,3,4,1,12783.92,3323.82,0,12,,2,0,,2,2.0,21,,13,14,,1981,153407.07,,
141,34,55.63,1,3,1,142,4.0,6.95,2,2,1,4492.84,1168.14,0,20,4.0,3,0,14.0,3,3.0,13,,4,9,4492.84,1989,53914.08,,
142,30,36.93,1,3,1,143,4.0,4.62,3,1,2,2982.5,775.45,0,21,4.0,1,1,12.0,2,3.0,11,,5,7,2982.5,1993,35790.0,,True
143,54,183.43,3,3,1,144,4.0,22.93,3,4,4,14815.83,3852.12,3,14,3.0,1,0,36.0,2,3.0,10,,0,9,14815.83,1969,177790.0,,True
144,31,55.63,24,3,1,145,3.0,6.95,2,2,1,4492.84,1168.14,1,19,,2,0,10.0,2,3.0,10,,1,8,4492.84,1992,53914.11,,True
145,44,187.91,5,3,1,146,2.0,23.49,3,5,2,15177.5,3946.15,7,11,3.0,3,1,26.0,5,3.0,22,,3,10,15177.5,1979,182130.0,,True
146,55,140.08,8,1,1,147,4.0,17.51,2,4,2,11314.17,2941.68,1,15,3.0,4,1,,3,3.0,33,,15,0,,1968,135770.0,,
147,44,197.99,4,2,1,148,3.0,24.75,4,5,1,15991.67,4157.83,1,14,3.0,4,2,,4,2.0,25,,14,13,15991.67,1979,191900.0,,True
148,34,55.63,11,3,1,149,3.0,6.95,2,2,2,4492.84,1168.14,4,11,3.0,4,2,14.0,5,4.0,10,,1,8,4492.84,1989,53914.08,,
149,39,176.67,13,4,1,150,3.0,22.08,2,4,2,14269.17,3709.98,6,13,3.0,4,2,,4,3.0,19,,15,2,,1984,171230.0,,
150,55,197.96,2,2,1,151,4.0,24.75,1,5,3,15989.17,4157.18,4,14,,4,1,23.0,5,3.0,19,,9,11,15989.17,1968,191870.0,,True
151,51,158.28,5,3,1,152,3.0,19.78,3,4,2,12783.92,3323.82,1,11,3.0,2,1,,2,3.0,33,,0,10,12783.92,1972,153407.07,,True
152,58,103.26,14,4,1,153,4.0,12.91,2,3,1,8340.0,2168.4,7,14,3.0,4,0,,0,2.0,10,,5,9,8340.0,1965,100080.0,,
153,48,103.25,4,3,1,154,4.0,12.91,3,3,4,8339.32,2168.22,1,11,3.0,3,0,11.0,2,3.0,10,,0,8,8339.32,1975,100071.84,,True
154,29,82.42,17,3,1,155,2.0,10.3,2,3,1,6656.67,1730.73,1,13,3.0,1,0,,3,2.0,10,,0,9,6656.67,1994,79880.0,,True
155,34,55.63,3,3,1,156,4.0,6.95,1,2,1,4492.84,1168.14,3,18,,4,0,15.0,2,3.0,13,,3,12,4492.84,1989,53914.11,,True
156,42,29.0,9,2,1,157,1.0,3.63,3,1,4,2342.59,609.08,1,13,3.0,3,0,12.0,3,3.0,12,,5,8,2342.59,1981,28111.08,,
157,57,55.63,1,2,1,158,2.0,6.95,4,2,3,4492.84,1168.14,0,24,4.0,1,1,13.0,2,2.0,12,,2,8,4492.84,1966,53914.11,,True
158,34,55.63,24,4,1,159,1.0,6.95,2,2,2,4492.84,1168.14,0,23,4.0,3,0,16.0,2,4.0,15,,10,10,,1989,53914.11,,
159,54,158.28,11,4,1,160,2.0,19.78,3,4,4,12783.92,3323.82,3,20,,1,1,26.0,2,3.0,14,,1,12,12783.92,1969,153407.04,,
160,34,73.08,1,3,1,161,4.0,9.13,2,3,3,5902.5,1534.65,1,14,3.0,4,0,,3,3.0,10,,8,6,5902.5,1989,70830.0,,True
161,29,48.73,3,1,1,162,2.0,6.09,3,1,1,3935.83,1023.32,1,18,3.0,4,0,,3,,10,,1,5,3935.83,1994,47229.96,,
162,35,35.15,28,3,1,163,2.0,4.39,4,2,3,2839.17,738.18,1,17,,4,2,,3,2.0,10,,6,8,2839.17,1988,34070.0,,True
163,35,55.63,12,4,1,164,4.0,6.95,3,2,4,4492.84,1168.14,3,24,4.0,1,0,13.0,2,4.0,11,,6,7,4492.84,1988,53914.11,,True
164,34,30.22,19,3,1,165,2.0,3.78,2,1,4,2440.83,634.62,1,12,3.0,2,0,10.0,3,3.0,10,,8,7,2440.83,1989,29290.0,,True
